Year_founded,Country_Only,Industry
2006,colombia,information technology and services
2016,united states,management consulting
2005,united states,accounting
1990,netherlands,architecture & planning
2002,argentina,hospital & health care
2014,united kingdom,food & beverages
2011,brazil,information technology and services
2010,spain,marketing and advertising
2010,united states,printing
1997,malaysia,mining & metals
2012,spain,media production
2006,united states,research
1989,united states,consumer goods
2011,united kingdom,marketing and advertising
1980,spain,automotive
2006,united kingdom,management consulting
1993,united states,marketing and advertising
1996,united kingdom,logistics and supply chain
2007,united kingdom,internet
2016,germany,food & beverages
2008,united kingdom,computer software
1988,india,architecture & planning
2011,united states,architecture & planning
2014,united kingdom,wholesale
2009,italy,media production
2015,france,financial services
2013,qatar,food & beverages
2009,italy,primary/secondary education
2011,chile,"leisure, travel & tourism"
2014,spain,individual & family services
1998,canada,financial services
2011,united states,research
2012,australia,photography
1966,spain,food production
1998,united states,computer hardware
2010,netherlands,market research
2009,united states,internet
2016,argentina,construction
2015,switzerland,human resources
2000,united kingdom,logistics and supply chain
2017,united states,motion pictures and film
2017,united states,internet
1994,united states,veterinary
2003,spain,"health, wellness and fitness"
2012,italy,information technology and services
2008,united states,information technology and services
2008,mexico,apparel & fashion
1999,new zealand,management consulting
2017,united kingdom,design
2008,turkey,computer software
2014,mexico,human resources
2005,netherlands,computer networking
2015,united states,retail
2011,italy,online media
2010,thailand,real estate
1995,united states,construction
2010,argentina,marketing and advertising
1990,argentina,accounting
2013,netherlands,construction
2017,united states,media production
2002,united states,entertainment
2003,united states,design
2011,united states,construction
2013,united states,logistics and supply chain
2007,united states,investment management
2018,united states,information technology and services
2017,slovakia,computer networking
2006,new zealand,human resources
2014,mexico,marketing and advertising
1978,united states,insurance
2016,australia,automotive
2015,united states,furniture
2013,united states,biotechnology
2004,united states,architecture & planning
2010,united states,internet
2003,united states,retail
2005,pakistan,non-profit organization management
2011,united states,design
1995,united states,"health, wellness and fitness"
2015,italy,individual & family services
1982,united states,industrial automation
2002,united states,semiconductors
1988,peru,building materials
2010,united kingdom,"health, wellness and fitness"
2005,united states,music
2008,united states,music
2010,united kingdom,construction
2008,italy,motion pictures and film
2015,netherlands,media production
2013,united states,financial services
2015,norway,telecommunications
2011,morocco,broadcast media
2010,united states,philanthropy
2013,switzerland,human resources
1999,united states,construction
2016,singapore,real estate
2013,philippines,construction
2015,united kingdom,information technology and services
2001,netherlands,information technology and services
2009,netherlands,professional training & coaching
1845,united states,civic & social organization
2010,united states,writing and editing
2017,belgium,facilities services
2017,lebanon,financial services
2015,germany,marketing and advertising
2001,united states,music
2014,pakistan,graphic design
2001,andorra,internet
2003,united states,management consulting
1996,united states,real estate
2012,spain,computer games
2015,united states,internet
1973,germany,"glass, ceramics & concrete"
2016,spain,mechanical or industrial engineering
1938,italy,supermarkets
2015,australia,information services
1960,france,professional training & coaching
2001,united kingdom,consumer goods
2014,united states,information technology and services
2008,italy,mining & metals
2009,united states,marketing and advertising
2006,switzerland,marketing and advertising
2016,ireland,food & beverages
2014,norway,architecture & planning
2008,united states,executive office
2016,germany,music
1993,italy,media production
2014,netherlands,think tanks
2016,netherlands,outsourcing/offshoring
2008,spain,"health, wellness and fitness"
1997,united states,construction
2016,united states,entertainment
2013,netherlands,management consulting
2016,united states,computer software
1994,netherlands,information technology and services
2014,united kingdom,financial services
1983,belgium,renewables & environment
2012,netherlands,retail
2009,finland,human resources
2015,brazil,e-learning
2009,italy,internet
2003,united states,information services
1991,united states,higher education
2015,norway,telecommunications
2003,united states,construction
2014,brazil,management consulting
2018,united states,education management
2015,croatia,entertainment
2009,liberia,automotive
2016,united states,staffing and recruiting
2013,mexico,computer software
2010,canada,environmental services
2005,united states,consumer goods
2015,singapore,electrical/electronic manufacturing
2005,colombia,hospitality
2010,united states,computer software
2016,united states,consumer goods
2017,germany,airlines/aviation
2016,united kingdom,human resources
2012,south africa,information technology and services
2010,norway,photography
2011,poland,luxury goods & jewelry
2017,united kingdom,"health, wellness and fitness"
2005,united states,electrical/electronic manufacturing
2017,canada,telecommunications
2008,united kingdom,real estate
2010,italy,marketing and advertising
2010,egypt,construction
2015,united states,management consulting
1981,argentina,consumer services
2009,united states,wine and spirits
2002,united kingdom,writing and editing
2007,chile,entertainment
2006,canada,construction
1997,canada,"health, wellness and fitness"
2017,united states,"health, wellness and fitness"
2008,panama,e-learning
2017,canada,insurance
2004,united states,architecture & planning
2017,netherlands,marketing and advertising
2011,egypt,civic & social organization
2008,sri lanka,electrical/electronic manufacturing
2012,south africa,information technology and services
2015,united states,biotechnology
1994,india,accounting
2012,united states,telecommunications
2014,australia,design
2002,brazil,management consulting
1987,united states,electrical/electronic manufacturing
2006,spain,marketing and advertising
2016,belgium,consumer goods
2012,united states,"health, wellness and fitness"
