Year_founded,Country_Only,Industry
2011,united states,information technology and services
2016,united states,information technology and services
2016,india,marketing and advertising
2010,india,electrical/electronic manufacturing
2017,united states,supermarkets
1972,united states,airlines/aviation
2015,united kingdom,chemicals
2009,united kingdom,sports
2007,canada,internet
2011,vietnam,"leisure, travel & tourism"
2007,australia,construction
2016,india,information technology and services
2007,turkey,music
2009,united states,entertainment
2006,united states,construction
2014,denmark,computer software
1983,united states,financial services
2009,netherlands,investment management
1982,united states,real estate
2009,united states,non-profit organization management
1990,turkey,"health, wellness and fitness"
2003,serbia,apparel & fashion
2012,united states,entertainment
2001,united states,photography
2014,india,design
2007,united arab emirates,real estate
2015,suriname,legal services
2010,canada,outsourcing/offshoring
2017,india,information technology and services
2015,united states,airlines/aviation
2007,united states,music
2003,zimbabwe,food production
2017,united states,apparel & fashion
2008,egypt,electrical/electronic manufacturing
2015,malaysia,food & beverages
2017,brazil,apparel & fashion
1998,united states,marketing and advertising
1996,spain,renewables & environment
2014,italy,education management
2014,canada,environmental services
1985,united states,management consulting
2016,switzerland,sports
2013,kuwait,food & beverages
2005,switzerland,computer software
2014,netherlands,think tanks
1993,united states,law practice
2012,united states,human resources
2018,canada,marketing and advertising
2000,netherlands,marketing and advertising
1984,united states,insurance
2009,united states,computer games
2010,united states,media production
2010,spain,management consulting
2011,united states,defense & space
2011,united states,internet
2010,estonia,legal services
1936,united kingdom,business supplies and equipment
2008,malaysia,"health, wellness and fitness"
1990,pakistan,textiles
2011,italy,hospitality
2014,united states,marketing and advertising
2017,united states,oil & energy
2013,cyprus,photography
2015,united states,printing
1985,united states,publishing
2014,india,computer software
2016,singapore,marketing and advertising
2012,argentina,consumer services
2012,spain,"health, wellness and fitness"
2017,united kingdom,staffing and recruiting
2013,united states,financial services
2016,brazil,public relations and communications
2001,united states,marketing and advertising
2013,united kingdom,retail
2008,switzerland,professional training & coaching
1999,india,consumer electronics
2003,netherlands,online media
2011,poland,marketing and advertising
2015,chile,hospitality
2014,united states,management consulting
2011,spain,consumer electronics
1992,germany,computer software
2017,united states,computer & network security
2014,netherlands,events services
2008,china,import and export
2016,united states,alternative medicine
2016,united kingdom,railroad manufacture
1979,united states,music
2004,macedonia,accounting
2014,united states,management consulting
2006,france,management consulting
1998,mexico,furniture
2015,united states,information technology and services
1887,netherlands,food production
1987,united states,design
2006,united states,retail
2017,united states,environmental services
1983,switzerland,architecture & planning
2006,united states,information technology and services
2007,netherlands,computer hardware
2015,italy,information technology and services
2014,switzerland,"health, wellness and fitness"
2016,france,business supplies and equipment
2004,united states,construction
2015,united states,information technology and services
2009,brazil,oil & energy
2012,united states,food & beverages
1973,united states,primary/secondary education
2016,united states,investment management
1987,jordan,real estate
2011,italy,computer & network security
2002,united states,photography
2009,united states,management consulting
2014,united states,management consulting
1955,united states,food & beverages
2017,united states,consumer goods
1998,united states,computer & network security
2015,china,non-profit organization management
2014,united states,computer software
2007,netherlands,information technology and services
2010,canada,automotive
2016,morocco,internet
2013,united states,consumer services
2005,united arab emirates,management consulting
2013,egypt,marketing and advertising
2016,united arab emirates,hospital & health care
2001,belgium,automotive
2010,united states,aviation & aerospace
1988,united states,real estate
2006,china,machinery
1989,united states,real estate
1998,united kingdom,construction
2011,spain,computer software
2001,united states,sports
2011,united states,non-profit organization management
2008,spain,graphic design
2001,united states,marketing and advertising
2008,united states,publishing
2014,south africa,public relations and communications
2015,netherlands,staffing and recruiting
1981,canada,food production
1988,united states,accounting
2006,ecuador,information technology and services
2008,united states,real estate
1999,united states,retail
2017,united states,sports
1995,belgium,architecture & planning
1998,united states,graphic design
1980,united states,real estate
2011,united states,entertainment
2013,netherlands,e-learning
1924,spain,"health, wellness and fitness"
2017,germany,internet
1999,united states,non-profit organization management
2016,norway,internet
2013,canada,publishing
2008,united states,medical devices
2000,israel,biotechnology
2013,norway,facilities services
2011,united kingdom,human resources
2007,germany,marketing and advertising
2014,canada,entertainment
2015,united states,marketing and advertising
2012,united states,"health, wellness and fitness"
1995,bangladesh,non-profit organization management
2013,italy,events services
2003,canada,information technology and services
2012,india,semiconductors
2006,france,real estate
2005,switzerland,staffing and recruiting
1932,netherlands,sports
2014,united states,construction
1988,netherlands,internet
2016,indonesia,fund-raising
2013,united states,management consulting
2016,china,import and export
2007,united states,construction
2014,united states,information technology and services
1968,united states,pharmaceuticals
1964,united states,real estate
2008,united states,online media
2009,china,mechanical or industrial engineering
2013,united states,military
2016,united states,civic & social organization
1998,united kingdom,marketing and advertising
1997,canada,information technology and services
2004,australia,financial services
2013,united states,management consulting
2015,australia,events services
2014,spain,"health, wellness and fitness"
2012,netherlands,packaging and containers
2003,united states,information technology and services
2005,united states,accounting
2013,canada,animation
2014,united states,marketing and advertising
2017,denmark,writing and editing
2015,united states,medical devices
2011,israel,internet
2013,united states,medical devices
1994,germany,electrical/electronic manufacturing
2016,netherlands,human resources
1999,canada,construction
2010,italy,renewables & environment
2013,united states,professional training & coaching
2016,united states,retail
2006,canada,international trade and development
2011,united kingdom,automotive
2017,kenya,hospitality
2012,new zealand,food & beverages
2017,united states,oil & energy
2005,united states,electrical/electronic manufacturing
2017,united states,online media
2012,south africa,consumer services
2013,australia,food & beverages
2014,united kingdom,translation and localization
1994,germany,building materials
2012,united kingdom,electrical/electronic manufacturing
2012,brazil,internet
2001,united kingdom,facilities services
2017,united states,information technology and services
2011,japan,program development
2014,united states,real estate
2013,lithuania,textiles
2016,philippines,food production
1962,united states,machinery
2009,germany,photography
2007,china,food & beverages
2010,united states,plastics
2017,united states,photography
2016,denmark,management consulting
1997,united kingdom,financial services
1995,peru,automotive
2011,united arab emirates,publishing
1987,united states,medical practice
2010,united states,telecommunications
2000,united states,law practice
2012,france,management consulting
1989,united states,staffing and recruiting
2002,united states,internet
2015,australia,food & beverages
2012,australia,information technology and services
2008,united states,information technology and services
2009,united states,food & beverages
2016,mexico,information technology and services
1986,united states,"health, wellness and fitness"
2001,spain,"health, wellness and fitness"
2009,united states,real estate
2016,spain,hospital & health care
1999,chile,information technology and services
1992,canada,management consulting
1905,france,food production
2009,united states,entertainment
2012,united states,e-learning
2010,united states,mental health care
2008,denmark,design
2009,united states,entertainment
2000,france,architecture & planning
2016,united states,food production
2018,united states,venture capital & private equity
1992,united states,information technology and services
2005,canada,transportation/trucking/railroad
2013,india,hospitality
2013,russia,computer games
2003,singapore,electrical/electronic manufacturing
2010,italy,renewables & environment
2015,united states,non-profit organization management
2004,kenya,recreational facilities and services
2013,united states,management consulting
2000,brazil,online media
2012,brazil,real estate
2017,germany,internet
2016,france,professional training & coaching
