Year_founded,Country_Only,Industry
2013,switzerland,design
1972,france,construction
2011,united kingdom,construction
2011,france,renewables & environment
2010,united states,international trade and development
1995,united states,retail
2010,united states,consumer goods
2014,united kingdom,venture capital & private equity
1997,australia,public safety
2010,isle of man,airlines/aviation
2016,united states,information technology and services
2014,united states,marketing and advertising
1995,united states,computer & network security
2009,united states,entertainment
2012,argentina,apparel & fashion
2011,united states,"leisure, travel & tourism"
1999,italy,human resources
1999,australia,financial services
2013,italy,business supplies and equipment
2013,united states,marketing and advertising
2007,montenegro,financial services
2011,sweden,management consulting
1995,india,textiles
1956,united states,financial services
1999,canada,music
2010,italy,information technology and services
2012,united states,internet
2006,united states,entertainment
2013,spain,textiles
1999,united states,entertainment
2014,germany,fine art
2012,france,investment management
2006,united states,photography
2010,united kingdom,law practice
2016,zambia,information technology and services
2013,united kingdom,media production
2004,united states,education management
2005,united states,"health, wellness and fitness"
2001,poland,marketing and advertising
2011,united states,real estate
1990,italy,transportation/trucking/railroad
2016,united kingdom,marketing and advertising
2005,united kingdom,renewables & environment
1989,india,luxury goods & jewelry
1996,united states,accounting
2008,ireland,environmental services
2014,united states,"health, wellness and fitness"
2012,belgium,information technology and services
2017,united states,apparel & fashion
2008,south africa,furniture
1988,ecuador,legal services
1958,italy,"leisure, travel & tourism"
2013,new zealand,information technology and services
2010,united states,computer software
2012,united states,information technology and services
2016,united kingdom,food & beverages
1934,united states,non-profit organization management
2014,armenia,financial services
2012,latvia,information technology and services
2009,israel,market research
2014,united states,higher education
2015,united states,events services
2013,united states,marketing and advertising
2008,brazil,veterinary
2013,united states,non-profit organization management
2014,malaysia,hospitality
2015,sweden,information technology and services
2000,united kingdom,construction
2006,united states,information technology and services
2010,netherlands,food & beverages
2006,united states,management consulting
2005,morocco,legal services
2016,united kingdom,events services
2010,united states,facilities services
2013,canada,consumer services
1989,united states,translation and localization
2017,united states,banking
2012,united states,photography
2012,netherlands,information technology and services
2015,united states,marketing and advertising
2010,united states,entertainment
2001,canada,chemicals
2010,colombia,information technology and services
1995,united states,architecture & planning
1997,united states,music
2016,india,"health, wellness and fitness"
2013,brazil,entertainment
1936,india,real estate
2014,germany,public relations and communications
