Year_founded,Country_Only,Industry
2015,sweden,computer software
1973,united states,insurance
1975,united kingdom,individual & family services
1949,united states,medical devices
1992,estonia,education management
1970,united states,education management
1958,united states,marketing and advertising
2016,united states,facilities services
2009,united states,e-learning
2003,united states,computer software
1962,sweden,paper & forest products
2013,united kingdom,human resources
2012,united states,insurance
1989,chile,management consulting
2009,united states,environmental services
1996,switzerland,"leisure, travel & tourism"
2008,united states,real estate
2002,united kingdom,computer software
2002,netherlands,media production
2001,united kingdom,electrical/electronic manufacturing
2009,united states,"health, wellness and fitness"
2008,united states,education management
2014,united kingdom,publishing
1994,canada,hospital & health care
2011,united states,information technology and services
1984,united kingdom,facilities services
2015,denmark,e-learning
2011,turkey,broadcast media
1971,united states,industrial automation
1989,united states,law practice
2015,italy,internet
2006,norway,biotechnology
1970,united kingdom,higher education
1993,united states,computer software
1965,brazil,government administration
2012,india,online media
1977,belgium,non-profit organization management
2011,united states,information technology and services
2005,united states,non-profit organization management
2003,czechia,computer software
1984,united states,accounting
2012,united states,internet
2011,united states,real estate
2003,united states,food production
2009,turkey,media production
2009,united states,museums and institutions
2016,united kingdom,renewables & environment
1950,united states,non-profit organization management
1980,united states,industrial automation
1998,romania,research
2007,united states,computer software
2007,united states,food & beverages
2007,china,telecommunications
1984,netherlands,computer networking
1983,united states,consumer services
1994,croatia,food & beverages
1988,united states,construction
1999,united arab emirates,information technology and services
1980,united states,marketing and advertising
1971,united states,food production
1997,united states,internet
1992,italy,renewables & environment
1979,france,design
2002,brazil,"health, wellness and fitness"
2008,united states,internet
1991,united states,marketing and advertising
2003,brazil,information technology and services
1982,united states,electrical/electronic manufacturing
1978,united states,building materials
1976,united kingdom,machinery
1955,united states,consumer services
1995,united states,translation and localization
1968,united states,construction
1995,united kingdom,real estate
2000,ireland,information services
1975,united states,biotechnology
2016,united states,marketing and advertising
2011,united states,real estate
2016,united states,oil & energy
2002,united states,information technology and services
2012,united states,medical devices
1995,united states,information services
1985,united states,construction
2002,united states,hospital & health care
1986,united states,consumer services
2005,united states,marketing and advertising
2003,france,internet
1998,south africa,non-profit organization management
2005,united states,legal services
2006,united states,farming
1918,estonia,government administration
1972,united states,airlines/aviation
2003,canada,electrical/electronic manufacturing
2000,south africa,financial services
2007,united states,real estate
1999,united kingdom,construction
2002,united kingdom,law practice
1991,united states,publishing
2012,united states,financial services
1983,united states,accounting
1988,netherlands,real estate
2005,argentina,marketing and advertising
1980,australia,automotive
2009,france,internet
2006,united kingdom,entertainment
2004,united states,events services
1996,united states,publishing
2015,spain,information technology and services
1999,indonesia,marketing and advertising
1991,united kingdom,staffing and recruiting
1989,italy,events services
2006,united kingdom,environmental services
2004,australia,financial services
1958,united states,law practice
2000,united states,information technology and services
2005,turkey,non-profit organization management
2007,united states,environmental services
1988,united states,environmental services
