Year_founded,Country_Only,Industry
2017,united states,hospital & health care
1991,australia,facilities services
2009,united states,farming
1994,united states,education management
2016,india,facilities services
2013,bulgaria,market research
2010,united states,non-profit organization management
2010,russia,industrial automation
1992,united states,management consulting
2012,belgium,logistics and supply chain
1996,united states,banking
2009,united kingdom,facilities services
2009,south africa,non-profit organization management
2010,indonesia,hospitality
2007,turkey,marketing and advertising
2010,united states,accounting
2001,united states,real estate
1996,new zealand,hospitality
1998,united states,broadcast media
2011,pakistan,computer software
2012,united states,law practice
2015,united states,financial services
2003,united states,public safety
2015,united states,events services
2014,malaysia,professional training & coaching
2010,brazil,environmental services
2015,united states,information technology and services
2015,romania,design
2001,united kingdom,information technology and services
2010,spain,accounting
2013,united states,entertainment
1937,united states,insurance
2010,canada,"health, wellness and fitness"
1992,tunisia,internet
1949,netherlands,music
1993,australia,transportation/trucking/railroad
2010,sweden,management consulting
2014,austria,human resources
2010,united states,retail
2009,chile,higher education
2011,united states,hospital & health care
1991,turkey,automotive
2005,united states,law practice
1989,united states,telecommunications
1998,taiwan,electrical/electronic manufacturing
1969,ireland,environmental services
1989,united states,information technology and services
2003,united states,financial services
2008,united states,management consulting
2009,romania,information technology and services
2015,australia,financial services
1998,united kingdom,fund-raising
2011,brazil,events services
2003,venezuela,apparel & fashion
1989,united states,construction
2011,netherlands,information technology and services
2009,japan,staffing and recruiting
2015,saudi arabia,management consulting
2004,new zealand,design
1998,united states,online media
1936,united states,industrial automation
2017,canada,furniture
2011,united states,food & beverages
2005,united states,entertainment
2002,cameroon,computer software
2009,south africa,human resources
1991,russia,printing
2003,france,architecture & planning
2009,united states,real estate
2011,germany,professional training & coaching
2010,spain,information technology and services
1998,united kingdom,legal services
1886,united states,hospital & health care
2012,spain,internet
2015,paraguay,human resources
1961,united states,museums and institutions
1998,japan,staffing and recruiting
1981,united states,building materials
2002,ukraine,motion pictures and film
2008,australia,staffing and recruiting
1997,united states,construction
1983,brazil,civil engineering
2006,italy,graphic design
2016,india,public relations and communications
1979,south africa,individual & family services
2004,united kingdom,marketing and advertising
2005,netherlands,accounting
2007,united states,internet
2015,gibraltar,financial services
2004,poland,management consulting
1882,united states,electrical/electronic manufacturing
2017,ukraine,civic & social organization
2010,france,human resources
2011,ghana,telecommunications
2015,united states,automotive
2006,united states,education management
1913,united states,non-profit organization management
2016,spain,marketing and advertising
2017,united states,apparel & fashion
1997,united states,law practice
1989,united states,law practice
1993,united states,education management
1997,united states,financial services
1989,united states,design
2007,united states,hospital & health care
2017,brazil,"health, wellness and fitness"
1914,united states,utilities
2011,united states,computer software
2011,france,environmental services
2015,united states,marketing and advertising
2011,united states,real estate
2016,united states,restaurants
2011,united kingdom,hospitality
2017,canada,information technology and services
1997,united states,machinery
2013,india,information technology and services
1991,russia,financial services
2007,china,pharmaceuticals
1984,united states,education management
2013,united states,retail
2011,united states,accounting
2011,united states,philanthropy
2014,india,information technology and services
2006,united states,broadcast media
2006,france,public relations and communications
2017,united states,human resources
1995,italy,renewables & environment
1969,united states,real estate
1992,united kingdom,hospital & health care
2010,brazil,internet
2004,india,legal services
2007,united states,real estate
2016,netherlands,online media
2009,france,internet
2013,hong kong,architecture & planning
1995,iran,primary/secondary education
1998,united states,newspapers
2005,netherlands,performing arts
2001,colombia,professional training & coaching
1988,brazil,individual & family services
2009,spain,architecture & planning
2014,united states,transportation/trucking/railroad
1999,spain,utilities
2005,fiji,marketing and advertising
2013,united states,consumer goods
2014,italy,environmental services
1906,el salvador,real estate
1998,united kingdom,security and investigations
2007,puerto rico,real estate
2013,united kingdom,education management
1998,bulgaria,food & beverages
1995,united states,graphic design
1980,united states,real estate
2016,netherlands,program development
1994,australia,events services
1996,netherlands,internet
2003,denmark,transportation/trucking/railroad
1994,spain,marketing and advertising
1999,united states,medical practice
2010,united states,construction
2011,serbia,internet
2003,united states,real estate
2013,united states,oil & energy
2003,saudi arabia,electrical/electronic manufacturing
1913,switzerland,hospitality
1986,united states,restaurants
2014,united states,consumer services
2003,united states,online media
2007,spain,medical devices
2010,canada,real estate
2011,indonesia,construction
2010,united states,marketing and advertising
1988,spain,recreational facilities and services
1995,france,philanthropy
2004,united states,computer & network security
2011,united states,facilities services
1976,italy,food & beverages
2002,united kingdom,public relations and communications
1936,united states,media production
2009,spain,information technology and services
2015,australia,banking
1979,australia,individual & family services
2007,united kingdom,insurance
2014,united states,logistics and supply chain
2010,kuwait,consumer electronics
2014,united states,biotechnology
2017,lebanon,executive office
2001,dominican republic,insurance
2012,australia,information services
1990,united kingdom,staffing and recruiting
2012,austria,computer software
1999,united states,automotive
1996,norway,research
2016,pakistan,computer software
2008,portugal,real estate
2008,thailand,information services
2011,singapore,design
2012,united kingdom,photography
1984,united states,legal services
2012,india,information technology and services
2012,spain,food & beverages
2015,united kingdom,food & beverages
1993,brazil,civil engineering
2009,united states,marketing and advertising
2009,portugal,consumer goods
2014,turkey,internet
1989,italy,mechanical or industrial engineering
2001,united states,information technology and services
2006,romania,real estate
1987,united states,performing arts
1942,united states,consumer goods
2008,united states,civic & social organization
2006,brazil,management consulting
1933,brazil,food production
1974,belgium,industrial automation
2013,spain,design
2000,united kingdom,environmental services
2001,russia,transportation/trucking/railroad
2013,united states,events services
1957,brazil,retail
2000,panama,medical practice
2003,united states,internet
2015,france,internet
1986,india,computer software
1997,france,professional training & coaching
2014,united states,defense & space
1989,brazil,"leisure, travel & tourism"
2004,jersey,pharmaceuticals
2013,united states,design
2002,canada,media production
1997,canada,hospital & health care
1998,romania,chemicals
1999,brazil,insurance
2015,united states,design
2014,united states,automotive
2009,united states,computer software
1984,united states,"health, wellness and fitness"
1996,turkey,electrical/electronic manufacturing
1995,mexico,wholesale
1983,canada,renewables & environment
1996,finland,performing arts
1989,canada,graphic design
2010,united states,medical practice
2012,united states,airlines/aviation
1993,mexico,printing
1987,mexico,biotechnology
1996,brazil,printing
2009,united kingdom,sporting goods
2012,united states,education management
1965,united arab emirates,"glass, ceramics & concrete"
2010,united kingdom,financial services
1980,portugal,construction
2000,united states,staffing and recruiting
2015,united states,facilities services
2015,united states,"health, wellness and fitness"
2016,germany,professional training & coaching
1987,united states,financial services
1906,united states,food & beverages
