Year_founded,Country_Only,Industry
2001,united states,retail
2003,united kingdom,real estate
2013,india,computer hardware
2010,canada,real estate
2016,india,events services
2010,united states,information technology and services
2002,united states,telecommunications
2016,uruguay,medical practice
1977,canada,construction
2012,united states,construction
2012,united states,marketing and advertising
2006,brazil,legal services
1876,norway,automotive
2003,latvia,pharmaceuticals
2011,united states,transportation/trucking/railroad
1892,united kingdom,retail
2009,united kingdom,real estate
2010,united states,professional training & coaching
2009,united states,management consulting
2012,united states,publishing
2016,united states,airlines/aviation
2011,united states,financial services
2003,india,staffing and recruiting
2017,brazil,food & beverages
1993,united states,commercial real estate
2014,india,media production
2004,portugal,internet
2012,portugal,marketing and advertising
2013,france,medical devices
2012,philippines,marketing and advertising
2013,south africa,human resources
1990,united states,telecommunications
2011,south africa,electrical/electronic manufacturing
2004,france,apparel & fashion
2006,sweden,construction
2010,united states,professional training & coaching
1982,united states,architecture & planning
2003,united states,information technology and services
2010,united states,commercial real estate
2004,ireland,plastics
2010,united states,non-profit organization management
1997,united kingdom,information technology and services
2015,china,investment management
2001,united kingdom,human resources
2013,netherlands,staffing and recruiting
2015,egypt,electrical/electronic manufacturing
2010,mexico,food & beverages
1984,united kingdom,business supplies and equipment
2009,united states,sports
2005,united states,recreational facilities and services
1997,united states,international trade and development
1974,italy,design
2018,united states,real estate
2010,united states,education management
2013,united states,music
1999,united states,financial services
1959,united states,printing
1999,germany,business supplies and equipment
2016,finland,professional training & coaching
1969,united states,"health, wellness and fitness"
1989,united states,retail
2015,united kingdom,media production
2014,mexico,financial services
2017,canada,environmental services
2014,united kingdom,information technology and services
1993,united states,industrial automation
2012,united kingdom,consumer goods
1996,united states,security and investigations
2009,united states,photography
2000,united states,online media
2003,united states,food production
2015,switzerland,internet
2016,united kingdom,construction
2010,united states,consumer goods
2014,brazil,computer software
1994,united kingdom,financial services
2008,canada,construction
2017,germany,staffing and recruiting
2015,united states,import and export
2006,kenya,"leisure, travel & tourism"
2006,united kingdom,staffing and recruiting
2002,south africa,chemicals
2013,belgium,wholesale
2004,india,business supplies and equipment
1991,united states,sporting goods
2009,brazil,information technology and services
2014,united arab emirates,management consulting
2010,switzerland,marketing and advertising
2010,spain,events services
2015,canada,education management
2013,united states,information technology and services
2007,united states,non-profit organization management
2017,ireland,government administration
2013,united kingdom,education management
2009,india,"health, wellness and fitness"
2015,united states,marketing and advertising
1994,sweden,hospitality
2016,united kingdom,education management
2015,united states,computer software
2006,portugal,libraries
2016,france,"health, wellness and fitness"
2013,italy,retail
2006,china,building materials
2015,ghana,internet
2017,georgia,logistics and supply chain
2009,united states,luxury goods & jewelry
2017,united kingdom,sports
2013,united kingdom,research
2012,netherlands,management consulting
2002,kuwait,mechanical or industrial engineering
2008,united states,information technology and services
2006,united states,non-profit organization management
2017,sweden,construction
2016,united states,photography
2004,united kingdom,furniture
2000,netherlands,mechanical or industrial engineering
2013,united states,law practice
2000,united states,information technology and services
1994,united kingdom,sports
2015,netherlands,logistics and supply chain
2009,united states,apparel & fashion
2011,france,real estate
1989,brazil,consumer services
2012,australia,electrical/electronic manufacturing
2009,united kingdom,financial services
1969,canada,farming
2011,portugal,architecture & planning
2018,united states,food & beverages
2001,united states,construction
2009,morocco,environmental services
2007,canada,real estate
2016,netherlands,professional training & coaching
2005,united states,graphic design
1999,canada,marketing and advertising
2010,united states,internet
2014,united states,airlines/aviation
1983,australia,computer & network security
2013,netherlands,management consulting
2005,portugal,graphic design
1972,netherlands,construction
1993,united states,import and export
2017,myanmar,venture capital & private equity
2010,chile,mechanical or industrial engineering
2009,united states,entertainment
2006,france,computer networking
1974,united states,electrical/electronic manufacturing
1917,netherlands,restaurants
2013,netherlands,real estate
2015,united states,marketing and advertising
1994,united kingdom,civil engineering
2007,mexico,management consulting
1991,canada,events services
2014,croatia,computer software
1984,canada,hospital & health care
2016,united states,insurance
2006,united states,automotive
2010,cyprus,construction
2014,brazil,"health, wellness and fitness"
2011,united states,computer software
2011,italy,construction
2004,belgium,financial services
2016,india,textiles
2017,canada,computer software
2012,united states,medical practice
2010,united states,non-profit organization management
2007,united kingdom,construction
2012,germany,retail
2009,italy,media production
1996,greece,"health, wellness and fitness"
2016,united states,wholesale
1906,canada,building materials
2014,denmark,mechanical or industrial engineering
2008,colombia,management consulting
2012,italy,renewables & environment
2011,united kingdom,marketing and advertising
2008,united states,arts and crafts
2014,germany,music
2006,canada,airlines/aviation
2014,united states,real estate
2005,spain,information technology and services
2010,united states,photography
2006,nigeria,education management
2009,united states,non-profit organization management
2003,united states,investment management
1993,united states,design
1983,united states,environmental services
2010,chile,telecommunications
2008,switzerland,renewables & environment
2011,united states,information technology and services
2015,austria,events services
2009,united states,real estate
2003,canada,renewables & environment
2002,united states,music
2002,united states,accounting
1881,united states,aviation & aerospace
1979,united states,media production
2010,argentina,marketing and advertising
2001,united states,law practice
2015,united arab emirates,management consulting
2015,united kingdom,computer software
1991,latvia,business supplies and equipment
2013,united states,events services
1997,united states,legal services
2005,brazil,architecture & planning
2013,japan,marketing and advertising
2013,italy,real estate
1998,united states,insurance
1991,taiwan,electrical/electronic manufacturing
2004,united kingdom,information technology and services
2013,united states,marketing and advertising
2016,india,information technology and services
2012,united states,financial services
2015,france,internet
2005,australia,marketing and advertising
1977,united states,oil & energy
2015,germany,oil & energy
2017,georgia,information technology and services
1969,united states,"leisure, travel & tourism"
2013,united states,staffing and recruiting
2005,united states,construction
2012,brazil,design
2008,slovenia,higher education
2017,united states,media production
2003,united states,arts and crafts
2014,romania,broadcast media
2008,united states,professional training & coaching
2017,united states,wholesale
2017,united kingdom,online media
2016,united states,hospital & health care
1989,italy,textiles
2013,united states,entertainment
2010,peru,design
1991,germany,industrial automation
2017,united states,management consulting
2012,spain,management consulting
1997,united states,staffing and recruiting
2013,united states,mental health care
2014,belgium,professional training & coaching
2016,united states,information technology and services
1994,finland,public relations and communications
1901,netherlands,retail
1979,philippines,electrical/electronic manufacturing
2010,united states,information technology and services
2016,united arab emirates,human resources
1984,united kingdom,events services
1998,united states,events services
2003,mexico,construction
2009,united kingdom,mechanical or industrial engineering
2006,spain,law practice
2006,united kingdom,automotive
2017,philippines,construction
1999,united kingdom,internet
2015,united states,fine art
2017,united states,wireless
2011,philippines,sports
2012,canada,media production
2008,united states,professional training & coaching
1991,croatia,broadcast media
1995,united states,law practice
2015,united states,biotechnology
2015,lithuania,"health, wellness and fitness"
1986,netherlands,information technology and services
2009,united states,financial services
1999,sweden,oil & energy
2010,italy,marketing and advertising
2016,australia,financial services
2001,united states,food & beverages
2006,norway,automotive
1980,united states,staffing and recruiting
2011,spain,furniture
2002,united states,real estate
2014,united states,marketing and advertising
2006,spain,information technology and services
2004,united states,construction
1999,romania,research
1996,italy,computer software
2016,india,apparel & fashion
2010,peru,marketing and advertising
2010,china,medical devices
2011,united states,real estate
2003,new zealand,real estate
1970,romania,research
2006,united states,professional training & coaching
1991,united states,education management
2011,israel,internet
2016,united states,publishing
2018,united states,mental health care
1964,united states,printing
2015,united kingdom,retail
1988,india,business supplies and equipment
2017,united kingdom,marketing and advertising
2014,united states,automotive
2017,brazil,automotive
2000,united states,events services
2016,united states,civil engineering
2017,united states,entertainment
2006,united states,construction
2003,united states,graphic design
2016,united states,real estate
2005,spain,information technology and services
2009,brazil,environmental services
2015,australia,design
2017,united states,medical devices
2012,india,architecture & planning
2014,thailand,utilities
2014,canada,management consulting
2010,luxembourg,financial services
1998,united kingdom,"health, wellness and fitness"
2001,spain,internet
2014,spain,real estate
2011,sri lanka,"leisure, travel & tourism"
2004,united states,accounting
2016,united states,marketing and advertising
2014,netherlands,food production
1993,united states,religious institutions
1998,united states,marketing and advertising
2010,spain,financial services
2010,brazil,internet
2010,sweden,food & beverages
2008,brazil,computer software
2016,switzerland,education management
1997,united states,internet
2003,united kingdom,design
2008,united kingdom,photography
2004,turkey,motion pictures and film
2014,netherlands,media production
2008,united states,medical devices
1995,united states,packaging and containers
2016,united states,internet
2013,united states,staffing and recruiting
1996,mexico,management consulting
2017,united states,music
2007,united states,information technology and services
2013,united states,environmental services
2010,united states,luxury goods & jewelry
1987,china,electrical/electronic manufacturing
2008,united states,electrical/electronic manufacturing
2013,brazil,accounting
2001,portugal,"leisure, travel & tourism"
2009,united states,real estate
2008,united states,marketing and advertising
2015,spain,consumer electronics
2014,united states,real estate
2002,canada,insurance
2015,united kingdom,investment management
2012,united states,hospital & health care
2006,united kingdom,commercial real estate
2011,brazil,facilities services
2011,united states,management consulting
2017,nigeria,internet
2004,brazil,mechanical or industrial engineering
2011,united states,real estate
2011,united states,motion pictures and film
2017,bangladesh,business supplies and equipment
2010,united states,pharmaceuticals
2017,united states,online media
2013,united states,construction
2018,united states,information technology and services
2016,brazil,financial services
2002,united kingdom,professional training & coaching
1948,united states,machinery
2015,united states,"health, wellness and fitness"
2011,netherlands,human resources
1998,united states,management consulting
1938,kenya,hospital & health care
2009,india,consumer services
2012,india,information technology and services
1981,spain,marketing and advertising
1998,brazil,translation and localization
1996,spain,investment banking
2018,denmark,renewables & environment
