Year_founded,Country_Only,Industry
1948,united states,consumer goods
2017,united states,hospitality
2013,united states,program development
1994,denmark,management consulting
1989,sweden,marketing and advertising
2015,south africa,program development
1896,united kingdom,publishing
2016,sweden,oil & energy
2012,bahrain,marketing and advertising
1968,canada,plastics
1878,czechia,political organization
2009,united kingdom,information technology and services
1983,united states,civil engineering
2005,united states,marketing and advertising
2011,czechia,civic & social organization
2003,united states,marketing and advertising
2013,netherlands,financial services
2001,united arab emirates,accounting
1972,china,machinery
2012,united states,consumer services
1999,canada,telecommunications
1989,united kingdom,financial services
2003,china,electrical/electronic manufacturing
2012,costa rica,education management
2013,india,hospitality
2017,india,market research
1979,turkey,textiles
2012,united states,retail
1986,mexico,construction
2009,canada,financial services
2008,china,computer software
2013,united states,consumer electronics
1995,united states,marketing and advertising
1985,united states,events services
2016,netherlands,"health, wellness and fitness"
2011,chile,retail
2010,kosovo,higher education
2009,netherlands,marketing and advertising
2015,egypt,graphic design
2012,united states,wholesale
1998,united states,information services
2007,nigeria,telecommunications
2006,united states,real estate
2012,brazil,marketing and advertising
2017,zimbabwe,information technology and services
1990,china,printing
2016,greece,non-profit organization management
1998,united states,utilities
2005,united states,environmental services
2010,philippines,marketing and advertising
2011,spain,entertainment
2002,united states,transportation/trucking/railroad
1990,ecuador,construction
2015,italy,information technology and services
1992,united states,"glass, ceramics & concrete"
1999,united states,food & beverages
2010,united states,philanthropy
2010,united states,environmental services
2011,united states,computer software
1952,united states,medical devices
2014,spain,construction
2013,united kingdom,publishing
2014,united states,consumer services
2003,germany,"leisure, travel & tourism"
2004,netherlands,management consulting
2003,united states,religious institutions
2012,canada,"health, wellness and fitness"
2009,united states,law practice
2008,argentina,architecture & planning
2011,france,professional training & coaching
2011,united states,hospital & health care
2016,united states,non-profit organization management
2017,france,staffing and recruiting
2017,united states,information technology and services
1977,netherlands,import and export
2013,philippines,information technology and services
1982,united kingdom,construction
2009,canada,transportation/trucking/railroad
2008,brazil,pharmaceuticals
1999,united states,electrical/electronic manufacturing
2011,india,telecommunications
2000,united states,computer software
1904,denmark,non-profit organization management
2010,slovakia,environmental services
2000,united kingdom,investment management
2007,russia,photography
2013,spain,building materials
1989,united states,photography
1999,austria,design
2005,united kingdom,food production
2003,iraq,security and investigations
2005,spain,marketing and advertising
2006,singapore,human resources
1999,united kingdom,insurance
1998,united kingdom,construction
2008,brazil,sporting goods
1995,spain,legal services
1997,czechia,education management
1997,brazil,aviation & aerospace
1986,turkey,information technology and services
1983,united states,construction
1921,netherlands,non-profit organization management
