Year_founded,Country_Only,Industry
2006,united states,marketing and advertising
2016,united states,staffing and recruiting
2014,indonesia,internet
1986,canada,non-profit organization management
2009,united states,internet
1995,united states,retail
1997,united kingdom,construction
2016,united states,insurance
2008,united states,internet
2002,united states,insurance
2013,hungary,computer software
2000,united kingdom,online media
2001,sweden,accounting
2013,france,internet
2008,united states,computer software
2003,macedonia,research
1905,switzerland,sports
2012,united states,security and investigations
2012,canada,media production
2008,south africa,marketing and advertising
1987,canada,industrial automation
1998,china,legal services
2009,united states,information technology and services
1998,chile,human resources
2008,united states,legal services
1995,united states,management consulting
1997,united states,marketing and advertising
1997,united states,hospital & health care
1990,south africa,construction
2008,united states,management consulting
1886,united states,retail
2010,india,information technology and services
1820,united states,government administration
2005,united states,information technology and services
1949,united states,government administration
2001,slovenia,airlines/aviation
2013,netherlands,retail
2004,brazil,"health, wellness and fitness"
2008,france,renewables & environment
2013,united states,design
2011,spain,legal services
2014,united kingdom,hospital & health care
1993,spain,facilities services
2003,united states,restaurants
2007,united states,logistics and supply chain
2013,united states,consumer electronics
1883,united states,non-profit organization management
2005,turkey,"leisure, travel & tourism"
1997,india,internet
1988,united states,real estate
2000,peru,information technology and services
2014,canada,electrical/electronic manufacturing
2000,australia,accounting
2009,france,entertainment
1978,canada,retail
2003,united states,broadcast media
2011,united states,hospitality
2010,united states,information technology and services
2012,argentina,retail
2010,france,real estate
2004,india,media production
2012,united states,food & beverages
1982,united states,construction
2005,united states,hospital & health care
2007,united states,computer software
2015,france,consumer electronics
1978,united states,market research
1987,united states,non-profit organization management
2006,brazil,legal services
2010,united states,marketing and advertising
2006,united states,civic & social organization
2005,thailand,media production
2010,egypt,information technology and services
2003,united states,restaurants
1978,canada,oil & energy
1978,italy,primary/secondary education
2012,mexico,construction
2008,united states,investment management
2014,united states,hospitality
1976,united states,mental health care
2011,sweden,information technology and services
1989,poland,shipbuilding
2004,united states,real estate
1940,italy,textiles
1989,united kingdom,commercial real estate
2003,united kingdom,textiles
1978,chile,mining & metals
1991,united states,information technology and services
2009,netherlands,motion pictures and film
2005,south africa,information technology and services
2003,united kingdom,information technology and services
2004,united states,food production
1990,netherlands,management consulting
2004,united states,automotive
2006,united kingdom,staffing and recruiting
2013,colombia,financial services
2009,india,oil & energy
2013,spain,consumer services
2005,canada,industrial automation
2004,united states,law practice
2006,united states,real estate
1961,united states,machinery
2016,united states,consumer goods
1985,united states,logistics and supply chain
1989,united states,industrial automation
2007,united states,"health, wellness and fitness"
1966,switzerland,electrical/electronic manufacturing
1994,united states,architecture & planning
2004,united kingdom,hospital & health care
2013,india,computer software
2003,united kingdom,financial services
2014,united states,logistics and supply chain
2016,netherlands,food & beverages
1970,united states,transportation/trucking/railroad
2003,united states,computer hardware
2008,singapore,staffing and recruiting
2001,brazil,information technology and services
2014,slovenia,"health, wellness and fitness"
2007,united states,real estate
1989,united states,industrial automation
1985,canada,business supplies and equipment
2004,united states,civil engineering
2012,united states,marketing and advertising
2010,united states,computer software
2004,hungary,construction
1993,canada,warehousing
2005,united states,mental health care
1966,united states,mining & metals
1948,united states,international affairs
1926,united states,wholesale
2002,united states,automotive
1996,united states,computer software
1989,united kingdom,staffing and recruiting
1919,finland,events services
1990,south africa,financial services
2010,united states,non-profit organization management
1974,united states,real estate
2009,united states,consumer goods
2012,united states,publishing
2012,united states,biotechnology
1981,united states,consumer services
1992,spain,financial services
2013,united states,public relations and communications
2016,france,individual & family services
1993,australia,information technology and services
1994,belgium,telecommunications
2012,brazil,research
1986,united states,music
1949,russia,consumer goods
2012,united states,marketing and advertising
2010,united states,real estate
1996,united kingdom,information technology and services
1906,sweden,building materials
2015,united states,venture capital & private equity
1990,brazil,furniture
2006,switzerland,electrical/electronic manufacturing
2008,denmark,market research
1972,argentina,pharmaceuticals
2008,india,information technology and services
2009,united states,"leisure, travel & tourism"
1840,united states,libraries
2006,indonesia,real estate
1807,united kingdom,wholesale
2014,united states,retail
2003,canada,consumer goods
2010,canada,industrial automation
1983,france,automotive
2005,united states,education management
1982,united states,hospitality
2005,india,telecommunications
1982,united states,construction
2012,united kingdom,computer software
1961,puerto rico,information technology and services
1946,united kingdom,sports
1998,india,marketing and advertising
1938,united states,banking
1988,belgium,aviation & aerospace
1995,netherlands,management consulting
1998,sweden,industrial automation
2003,australia,logistics and supply chain
2011,united states,marketing and advertising
1936,netherlands,machinery
2014,united states,mental health care
2009,united states,hospital & health care
1998,china,non-profit organization management
1876,sweden,consumer goods
1989,italy,oil & energy
1968,switzerland,industrial automation
2011,india,non-profit organization management
1972,united states,commercial real estate
2013,india,staffing and recruiting
1926,united states,wholesale
2001,belgium,information technology and services
1969,united states,marketing and advertising
2015,germany,internet
2009,australia,textiles
1958,norway,human resources
1986,united states,construction
1978,united states,transportation/trucking/railroad
2013,chile,"leisure, travel & tourism"
1999,united states,renewables & environment
1969,switzerland,management consulting
2012,united states,airlines/aviation
1875,united states,primary/secondary education
2015,india,human resources
2000,united kingdom,information technology and services
2012,spain,marketing and advertising
1999,united states,"leisure, travel & tourism"
1963,united states,banking
2000,united states,writing and editing
2012,united states,restaurants
1999,united states,construction
2012,brazil,entertainment
2004,united states,real estate
2005,united states,food & beverages
1928,spain,"glass, ceramics & concrete"
1997,france,professional training & coaching
2008,united states,research
1999,czechia,computer software
2012,pakistan,electrical/electronic manufacturing
2010,jordan,investment banking
1996,united states,graphic design
1985,united states,civic & social organization
2016,united kingdom,public policy
1994,netherlands,environmental services
2016,united kingdom,financial services
2001,united states,investment management
1947,united kingdom,design
2008,united states,"health, wellness and fitness"
1967,united states,warehousing
1999,united kingdom,luxury goods & jewelry
2012,democratic republic of the congo,hospitality
2012,united states,real estate
1852,united states,primary/secondary education
2004,netherlands,staffing and recruiting
2001,hong kong,primary/secondary education
1962,united states,internet
1938,indonesia,oil & energy
2013,canada,staffing and recruiting
1956,united states,wholesale
1980,united states,defense & space
2010,malta,computer software
1991,united states,professional training & coaching
2001,united states,building materials
1923,united states,facilities services
2003,poland,financial services
2005,belgium,information technology and services
1948,italy,oil & energy
1998,united states,hospital & health care
2010,spain,information technology and services
1997,united states,real estate
2005,united states,hospital & health care
2011,israel,mechanical or industrial engineering
2000,india,information technology and services
1998,netherlands,design
2010,united kingdom,biotechnology
2001,netherlands,industrial automation
2017,united states,marketing and advertising
2001,united states,non-profit organization management
2006,argentina,design
1994,italy,apparel & fashion
2000,united states,banking
1999,united states,e-learning
2002,australia,information technology and services
2004,india,translation and localization
2009,germany,architecture & planning
1989,united states,computer software
2002,france,management consulting
1996,italy,design
1819,ireland,consumer services
1948,united kingdom,machinery
2009,uruguay,marketing and advertising
1966,united kingdom,fine art
2013,united kingdom,computer software
2011,egypt,medical practice
2005,canada,real estate
1947,france,plastics
2001,ireland,retail
2007,united states,restaurants
2011,brazil,law practice
2012,netherlands,cosmetics
2015,spain,marketing and advertising
2001,united states,information technology and services
2000,united states,financial services
1962,canada,higher education
2002,spain,"glass, ceramics & concrete"
1982,united kingdom,telecommunications
1956,united states,transportation/trucking/railroad
1982,india,building materials
1970,brazil,accounting
2011,netherlands,arts and crafts
1997,india,management consulting
1995,spain,apparel & fashion
1997,romania,food production
1986,united states,machinery
2004,india,information technology and services
2014,oman,information technology and services
2002,australia,management consulting
2014,united states,sporting goods
2012,mexico,consumer goods
1998,russia,marketing and advertising
1986,united kingdom,construction
1993,united states,financial services
2003,czechia,management consulting
2000,denmark,human resources
2003,united states,information technology and services
2009,australia,religious institutions
1988,united states,paper & forest products
1896,united states,hospital & health care
1999,australia,marketing and advertising
1995,united kingdom,information technology and services
2007,united states,retail
2016,united states,design
1990,brazil,primary/secondary education
2006,romania,mechanical or industrial engineering
1993,united states,retail
1948,south africa,non-profit organization management
1985,canada,automotive
2000,iran,oil & energy
2010,spain,primary/secondary education
2006,canada,real estate
2013,india,computer software
2007,united states,design
1980,united states,civic & social organization
2014,united states,retail
1993,united states,venture capital & private equity
1907,spain,logistics and supply chain
2013,france,information technology and services
1958,united states,non-profit organization management
2007,switzerland,security and investigations
1943,united states,consumer goods
1988,united states,information technology and services
2001,united states,events services
1948,united states,insurance
1998,egypt,retail
2005,united states,design
1994,united states,printing
1968,united states,environmental services
2002,united states,investment banking
1925,canada,business supplies and equipment
1998,italy,design
2001,canada,information technology and services
1997,thailand,restaurants
2015,pakistan,marketing and advertising
2002,paraguay,management consulting
2014,brazil,information technology and services
2001,united states,public relations and communications
1978,portugal,non-profit organization management
1996,spain,banking
1997,united states,business supplies and equipment
1975,united states,hospital & health care
2003,canada,mechanical or industrial engineering
1988,ireland,architecture & planning
1986,united arab emirates,computer software
2012,brazil,investment banking
2008,united states,staffing and recruiting
2006,canada,computer software
2013,colombia,renewables & environment
1922,united states,farming
2011,united states,consumer electronics
1878,australia,sports
2011,slovenia,information technology and services
2015,united states,aviation & aerospace
2008,united states,information technology and services
1996,turkey,hospitality
1996,united states,real estate
1996,united states,research
2008,portugal,translation and localization
2006,united states,architecture & planning
2007,romania,outsourcing/offshoring
2013,united states,real estate
2011,united states,international trade and development
2010,united states,investment banking
2014,united kingdom,staffing and recruiting
1999,netherlands,retail
2001,united states,insurance
2014,netherlands,internet
1997,peru,telecommunications
2000,indonesia,apparel & fashion
1945,spain,e-learning
2010,united states,publishing
2013,germany,management consulting
1991,spain,information technology and services
1966,thailand,non-profit organization management
1983,canada,non-profit organization management
2009,united states,renewables & environment
1950,united states,electrical/electronic manufacturing
2000,tunisia,outsourcing/offshoring
1936,australia,building materials
1968,united states,machinery
1974,united states,education management
1959,united states,marketing and advertising
2017,canada,sports
1964,canada,automotive
1964,belgium,building materials
2002,united states,retail
1989,united kingdom,"health, wellness and fitness"
2004,united states,photography
2008,united kingdom,real estate
1992,united kingdom,hospital & health care
2008,mexico,information technology and services
1968,united states,luxury goods & jewelry
1980,italy,events services
1994,united states,hospitality
1987,united states,non-profit organization management
1992,united arab emirates,consumer goods
1969,sweden,environmental services
2004,united kingdom,professional training & coaching
2013,finland,pharmaceuticals
2006,brazil,construction
2002,united states,information technology and services
2014,switzerland,financial services
1978,south africa,chemicals
1983,united states,information technology and services
1992,canada,electrical/electronic manufacturing
1990,denmark,machinery
1979,south africa,plastics
1993,united states,information technology and services
1999,united states,investment management
1987,united kingdom,oil & energy
2013,united arab emirates,education management
2011,united states,internet
1982,united states,information technology and services
2002,denmark,internet
2014,chile,real estate
1941,russia,mining & metals
2007,united kingdom,financial services
2002,sweden,wireless
2011,pakistan,management consulting
1996,united states,computer software
1997,united states,information technology and services
1997,united states,law practice
1981,kuwait,investment management
2013,india,marketing and advertising
1999,united states,public relations and communications
1998,united kingdom,logistics and supply chain
1991,united states,plastics
2001,united states,computer software
2004,united states,architecture & planning
2001,united states,financial services
1999,united states,insurance
1978,united states,internet
2013,united states,marketing and advertising
2007,netherlands,management consulting
1996,united states,marketing and advertising
2015,united states,marketing and advertising
2016,united states,hospital & health care
1929,united states,electrical/electronic manufacturing
