Year_founded,Country_Only,Industry
2013,south africa,information technology and services
2004,netherlands,marketing and advertising
1996,united kingdom,medical devices
2002,dominican republic,public relations and communications
2014,mexico,e-learning
2005,united states,information technology and services
1952,united states,consumer goods
1991,brazil,program development
1993,united states,real estate
2012,greece,information technology and services
2010,pakistan,information technology and services
2016,united states,hospital & health care
1999,united states,retail
2016,sierra leone,civic & social organization
2012,russia,program development
2009,india,information technology and services
2015,united states,internet
2013,netherlands,sports
1969,united states,sports
2008,united states,computer software
2007,united states,computer software
2010,united states,financial services
1982,united states,real estate
2014,united arab emirates,apparel & fashion
1982,brazil,commercial real estate
1994,united states,law practice
2014,brazil,wholesale
2006,belgium,events services
2010,canada,environmental services
1997,belgium,design
2015,italy,computer & network security
2008,sweden,construction
2009,united states,government relations
2011,spain,cosmetics
2017,united states,real estate
2006,united states,design
2005,portugal,music
2018,netherlands,information technology and services
2001,sweden,higher education
2009,india,information technology and services
2015,mexico,program development
2015,united states,medical devices
2009,united states,architecture & planning
2014,netherlands,hospitality
1980,united states,"glass, ceramics & concrete"
2018,united kingdom,oil & energy
2010,belgium,arts and crafts
1984,united states,logistics and supply chain
2014,norway,retail
2015,spain,information technology and services
1936,canada,insurance
2004,iran,information technology and services
2018,united kingdom,architecture & planning
1998,united states,construction
2009,norway,financial services
1986,united states,construction
2007,argentina,law practice
2012,united arab emirates,financial services
2003,united kingdom,construction
2013,netherlands,security and investigations
2000,saudi arabia,import and export
2017,denmark,food & beverages
2012,united states,consumer services
2001,united states,construction
1981,france,electrical/electronic manufacturing
2015,united states,computer software
2008,spain,design
2016,jordan,education management
1922,united states,retail
2004,denmark,media production
1959,united states,hospitality
2011,brazil,marketing and advertising
2007,canada,industrial automation
1980,france,events services
2014,australia,"health, wellness and fitness"
1991,mexico,transportation/trucking/railroad
1987,singapore,maritime
2010,france,information technology and services
2015,united kingdom,professional training & coaching
2009,india,information technology and services
2008,canada,mining & metals
2010,ireland,computer software
2006,united arab emirates,"leisure, travel & tourism"
1994,nigeria,legal services
2013,colombia,marketing and advertising
2015,mexico,information technology and services
2006,united states,education management
1972,united states,computer software
2001,united states,"health, wellness and fitness"
2004,united states,construction
2012,australia,financial services
2008,turkey,computer & network security
1982,united states,real estate
2016,india,internet
2007,spain,investment management
2004,united states,public relations and communications
1972,united states,transportation/trucking/railroad
2009,united states,computer software
2000,spain,accounting
1986,united states,non-profit organization management
1976,slovakia,non-profit organization management
1861,united kingdom,mechanical or industrial engineering
2014,united states,information technology and services
1986,united kingdom,electrical/electronic manufacturing
2010,india,information technology and services
2002,united kingdom,airlines/aviation
2017,united states,legal services
1998,united states,staffing and recruiting
2001,united states,aviation & aerospace
2009,united states,biotechnology
2002,spain,management consulting
1996,italy,e-learning
2017,canada,design
1998,italy,"leisure, travel & tourism"
2017,united states,graphic design
2008,netherlands,information technology and services
1988,indonesia,transportation/trucking/railroad
1998,united states,information technology and services
2003,colombia,food & beverages
2016,brazil,information technology and services
2015,spain,real estate
2013,united states,real estate
2007,belgium,import and export
2001,spain,internet
2012,netherlands,internet
1987,united states,law practice
2001,united states,marketing and advertising
1980,united states,medical practice
2012,brazil,marketing and advertising
1995,portugal,mechanical or industrial engineering
2015,brazil,sporting goods
2001,luxembourg,financial services
2012,united states,internet
2016,ukraine,information technology and services
2000,switzerland,logistics and supply chain
2008,united states,design
2016,india,real estate
2014,netherlands,information technology and services
2002,united states,computer software
2004,norway,industrial automation
2008,united states,construction
2009,australia,human resources
2012,mexico,legal services
2004,pakistan,information technology and services
1992,united states,consumer goods
1883,united states,law practice
2017,india,information technology and services
