Year_founded,Country_Only,Industry
1975,india,apparel & fashion
2014,turkey,e-learning
1991,brazil,facilities services
1997,united arab emirates,broadcast media
1995,canada,government relations
1955,australia,real estate
1928,united states,transportation/trucking/railroad
1942,united states,construction
2010,israel,automotive
1990,mexico,financial services
1946,india,publishing
1828,france,higher education
1951,pakistan,marketing and advertising
2002,united states,construction
2006,saudi arabia,information technology and services
2007,italy,internet
1930,united kingdom,law practice
1948,canada,facilities services
1922,united states,insurance
1986,france,market research
2007,united states,information technology and services
1996,united states,higher education
1987,united states,construction
1964,united states,individual & family services
1994,united states,higher education
1998,south africa,computer software
2008,mexico,retail
1990,czechia,management consulting
1993,sweden,medical devices
1998,germany,pharmaceuticals
1997,united states,marketing and advertising
2012,italy,marketing and advertising
1995,united states,marketing and advertising
2004,jordan,information technology and services
1982,canada,recreational facilities and services
1974,canada,real estate
2003,slovakia,marketing and advertising
2016,united kingdom,computer software
1897,switzerland,utilities
1970,united states,banking
2007,finland,information technology and services
1979,united kingdom,publishing
1994,united kingdom,architecture & planning
1982,united states,construction
2003,united kingdom,utilities
2009,united kingdom,civil engineering
2005,canada,computer & network security
1986,kuwait,government administration
1995,france,real estate
1896,sweden,wholesale
1997,netherlands,information technology and services
1993,spain,architecture & planning
2012,united states,internet
2005,india,hospitality
1874,united kingdom,financial services
2011,india,information technology and services
1989,united states,real estate
2005,united states,real estate
1994,australia,events services
1996,united states,industrial automation
1965,united states,plastics
2004,india,pharmaceuticals
2011,united kingdom,hospitality
2004,angola,information technology and services
1983,united states,market research
2008,spain,marketing and advertising
1989,united states,legal services
1975,italy,oil & energy
1924,united states,legal services
1941,united states,public policy
1997,united states,insurance
1981,united states,electrical/electronic manufacturing
1971,united states,hospital & health care
1972,australia,education management
1992,united states,real estate
2006,saudi arabia,real estate
1987,united states,professional training & coaching
1910,italy,textiles
1955,united states,facilities services
2011,denmark,venture capital & private equity
1975,portugal,"leisure, travel & tourism"
2013,united states,biotechnology
1994,united states,real estate
2005,united states,market research
1963,puerto rico,facilities services
1961,united states,electrical/electronic manufacturing
2007,united states,hospitality
1985,united states,mechanical or industrial engineering
1959,united kingdom,mechanical or industrial engineering
2006,brazil,industrial automation
1985,brazil,information technology and services
2012,france,professional training & coaching
2005,italy,education management
2010,brazil,construction
2004,south africa,information technology and services
2006,united states,law practice
2012,ireland,apparel & fashion
1972,united states,legal services
2015,india,government relations
2012,united states,e-learning
2009,australia,marketing and advertising
2015,united kingdom,human resources
2008,united states,computer hardware
2006,united arab emirates,management consulting
2007,greece,international affairs
2014,united states,computer & network security
2000,spain,information technology and services
2015,united states,computer software
2007,austria,airlines/aviation
2007,india,food & beverages
2011,vietnam,events services
2014,australia,"health, wellness and fitness"
2004,italy,construction
1863,united states,banking
2015,bulgaria,marketing and advertising
2005,united kingdom,financial services
2012,sweden,wholesale
2017,united states,marketing and advertising
2011,switzerland,"health, wellness and fitness"
2016,indonesia,marketing and advertising
2012,spain,marketing and advertising
2017,india,consumer goods
2016,nigeria,information technology and services
2014,united states,"health, wellness and fitness"
2011,latvia,"leisure, travel & tourism"
2014,france,internet
2015,united kingdom,staffing and recruiting
2010,united states,marketing and advertising
2006,united states,information technology and services
2012,south africa,education management
2015,poland,professional training & coaching
2000,netherlands,staffing and recruiting
2017,india,graphic design
2011,united kingdom,architecture & planning
2008,united kingdom,oil & energy
1999,new zealand,media production
2004,netherlands,marketing and advertising
2006,kuwait,real estate
2016,united states,marketing and advertising
2018,spain,events services
2015,brazil,information technology and services
2017,united kingdom,information technology and services
2016,turkey,events services
2011,united states,marketing and advertising
2016,spain,internet
2017,malaysia,information technology and services
2008,spain,online media
2008,united kingdom,staffing and recruiting
2013,australia,consumer services
2009,united states,consumer goods
2017,united states,marketing and advertising
2016,united kingdom,staffing and recruiting
2016,united states,transportation/trucking/railroad
2016,france,logistics and supply chain
2016,united states,sports
2015,united kingdom,food & beverages
2012,ireland,information technology and services
1993,hungary,financial services
2013,canada,management consulting
2009,united states,information technology and services
2011,brazil,internet
2007,australia,information services
2014,united states,design
2014,australia,professional training & coaching
2014,spain,"leisure, travel & tourism"
2003,germany,staffing and recruiting
2015,lebanon,insurance
2007,united kingdom,financial services
2013,india,facilities services
1987,united states,marketing and advertising
2013,india,consumer services
2016,united states,professional training & coaching
1994,netherlands,building materials
2010,united states,law practice
2010,brazil,internet
2008,italy,real estate
1985,united states,accounting
2012,united states,non-profit organization management
1980,canada,commercial real estate
2007,united states,commercial real estate
2011,united states,"health, wellness and fitness"
2015,united states,consumer services
2011,poland,media production
2005,greece,environmental services
1999,germany,packaging and containers
1983,india,food & beverages
1980,netherlands,architecture & planning
2003,china,information technology and services
2006,netherlands,marketing and advertising
2002,canada,telecommunications
2010,united states,business supplies and equipment
2016,thailand,airlines/aviation
2015,india,information technology and services
2009,netherlands,mechanical or industrial engineering
2000,united states,public relations and communications
1979,united kingdom,mechanical or industrial engineering
2013,thailand,information technology and services
2008,united states,media production
2005,united states,management consulting
2017,france,entertainment
2015,spain,biotechnology
2015,united states,music
2017,turkey,import and export
2011,united states,telecommunications
2017,slovakia,marketing and advertising
2007,united states,retail
2002,united states,music
1989,brazil,publishing
2014,united kingdom,facilities services
2009,india,telecommunications
1867,united states,government administration
2005,united states,fund-raising
2012,italy,music
2015,czechia,sports
2007,united states,real estate
2011,united states,environmental services
2004,united kingdom,retail
2005,united states,computer software
2011,united states,industrial automation
2004,turkey,construction
1982,united states,automotive
2012,india,management consulting
2001,saint lucia,real estate
2014,united states,real estate
2001,united states,construction
2004,pakistan,real estate
2016,colombia,internet
2009,united states,marketing and advertising
2017,canada,marketing and advertising
2001,netherlands,law practice
1997,venezuela,information technology and services
1992,canada,non-profit organization management
2006,norway,maritime
2016,denmark,internet
2009,united states,facilities services
2006,united states,motion pictures and film
2013,united states,media production
1984,united states,renewables & environment
2009,united states,financial services
1994,united kingdom,computer networking
2009,united states,commercial real estate
2007,united states,veterinary
2004,france,civic & social organization
2015,united states,apparel & fashion
1999,netherlands,financial services
1966,united states,education management
1987,united kingdom,higher education
2006,canada,automotive
2009,india,environmental services
2014,united states,information technology and services
2012,india,information technology and services
1986,united states,professional training & coaching
2005,angola,building materials
1982,spain,primary/secondary education
1972,united states,non-profit organization management
1980,sweden,accounting
2004,south africa,marketing and advertising
2015,united kingdom,computer software
2013,belgium,higher education
1984,united states,photography
2012,netherlands,oil & energy
1999,china,chemicals
2010,united states,internet
1981,united states,airlines/aviation
2016,united kingdom,marketing and advertising
2011,united states,marketing and advertising
2001,united states,pharmaceuticals
1981,france,professional training & coaching
1949,brazil,"health, wellness and fitness"
2015,united states,information technology and services
2002,united arab emirates,computer & network security
1937,sweden,human resources
2006,germany,renewables & environment
2007,united states,mechanical or industrial engineering
1997,united states,non-profit organization management
1991,united states,legal services
2009,china,information technology and services
2006,united kingdom,investment management
2005,united states,financial services
2010,denmark,fishery
1985,turkey,plastics
2005,united states,photography
2011,united states,information services
2000,china,education management
1996,switzerland,real estate
2015,australia,financial services
2003,united states,education management
2013,belgium,internet
2014,united states,accounting
1851,australia,non-profit organization management
2005,poland,computer software
1972,brazil,human resources
2006,morocco,internet
1983,canada,medical practice
1997,united states,cosmetics
2006,australia,financial services
2011,austria,information technology and services
1935,finland,mechanical or industrial engineering
1985,senegal,education management
2013,brazil,food & beverages
1886,new zealand,building materials
2001,serbia,computer software
2004,france,construction
1955,united states,building materials
2011,united kingdom,real estate
2018,united states,information technology and services
2011,united kingdom,management consulting
1991,austria,furniture
2018,france,apparel & fashion
2008,india,marketing and advertising
2012,australia,architecture & planning
1978,united states,oil & energy
2005,brazil,telecommunications
2000,china,automotive
1999,united states,information technology and services
1995,united states,insurance
2013,united states,information technology and services
1980,united kingdom,public relations and communications
1976,united states,real estate
1960,denmark,food & beverages
2008,hungary,legal services
1994,united states,medical devices
2013,germany,information technology and services
2009,india,information technology and services
1990,united states,sporting goods
1991,saudi arabia,marketing and advertising
2013,peru,architecture & planning
2017,france,information technology and services
2018,united states,staffing and recruiting
1978,spain,construction
1958,united states,civil engineering
1979,united states,real estate
1923,united states,food & beverages
1988,germany,railroad manufacture
2012,bulgaria,computer software
2015,united states,design
2008,united states,"health, wellness and fitness"
2003,ireland,market research
1998,slovenia,computer hardware
2015,iraq,hospital & health care
2017,united states,information technology and services
1930,belgium,food & beverages
2009,germany,computer software
1993,australia,environmental services
2017,united kingdom,graphic design
2004,united states,computer software
2011,switzerland,biotechnology
1965,united states,construction
2008,canada,"health, wellness and fitness"
1936,united kingdom,construction
1894,canada,law practice
1995,united states,marketing and advertising
2012,united states,wholesale
1957,united states,wholesale
1979,singapore,performing arts
2007,united states,computer software
1994,portugal,pharmaceuticals
1973,united states,law practice
1971,indonesia,electrical/electronic manufacturing
1937,belgium,food production
2004,india,information technology and services
2003,india,education management
1961,finland,media production
1842,united states,education management
1981,united states,plastics
2011,netherlands,marketing and advertising
2010,canada,public relations and communications
2008,united kingdom,insurance
2000,netherlands,airlines/aviation
1927,czechia,oil & energy
2008,united states,internet
2012,united states,consumer services
2007,united states,capital markets
1988,belgium,computer software
1995,united states,marketing and advertising
2012,netherlands,management consulting
2000,france,information technology and services
2013,united states,computer software
2002,united states,real estate
2001,united states,information technology and services
1919,france,machinery
1850,united states,government administration
1998,india,internet
2000,united states,security and investigations
2005,united kingdom,computer hardware
1972,united states,education management
1968,australia,retail
2000,italy,investment management
1886,united states,banking
2016,india,"glass, ceramics & concrete"
1998,united states,marketing and advertising
1996,united states,telecommunications
2016,united states,biotechnology
1958,united states,government administration
2014,united states,financial services
1985,canada,international trade and development
2016,brazil,real estate
2012,australia,management consulting
2004,united states,retail
2006,india,information technology and services
1938,united states,government administration
2004,united states,information technology and services
2002,australia,marketing and advertising
2004,united states,retail
2004,sweden,medical devices
2018,france,e-learning
1980,jordan,industrial automation
1947,mexico,consumer goods
2003,united states,accounting
2007,india,information technology and services
1948,united states,aviation & aerospace
2014,sweden,real estate
2011,kazakhstan,education management
1908,france,food production
1976,united states,insurance
2012,united kingdom,hospitality
2017,philippines,computer software
2010,united kingdom,computer software
1990,united states,architecture & planning
2012,united states,management consulting
1976,united states,recreational facilities and services
2016,united states,sports
2008,belgium,broadcast media
2012,united states,financial services
2003,united states,real estate
2014,chile,telecommunications
1958,united states,insurance
1961,united states,medical devices
1976,turkey,automotive
2010,united states,graphic design
2017,canada,investment management
2013,india,staffing and recruiting
2011,ireland,computer software
1999,india,information technology and services
1980,spain,industrial automation
2008,canada,information technology and services
1997,united kingdom,staffing and recruiting
2006,united states,design
2005,argentina,translation and localization
1975,nigeria,research
1986,singapore,law practice
2009,united kingdom,education management
2012,united states,oil & energy
2000,united states,veterinary
2008,georgia,education management
2009,portugal,marketing and advertising
2004,united states,"health, wellness and fitness"
1984,united states,financial services
1989,ireland,printing
2003,spain,real estate
2001,serbia,electrical/electronic manufacturing
2000,brazil,banking
1990,czechia,motion pictures and film
1996,united states,marketing and advertising
1929,united states,law practice
2017,united states,computer software
2012,italy,management consulting
2013,united states,professional training & coaching
2005,france,civic & social organization
1979,canada,building materials
1998,netherlands,graphic design
1986,united states,marketing and advertising
1989,united states,electrical/electronic manufacturing
1986,united states,airlines/aviation
1972,united states,newspapers
1995,norway,investment banking
1983,new zealand,packaging and containers
2010,bulgaria,hospitality
2008,denmark,information technology and services
2007,united states,online media
2016,italy,legal services
2003,canada,entertainment
2010,australia,financial services
2000,united states,pharmaceuticals
2012,egypt,security and investigations
2002,united states,publishing
2009,united states,airlines/aviation
2015,tanzania,biotechnology
2012,united states,automotive
2018,united states,management consulting
1990,united states,computer software
2017,united states,legal services
2005,azerbaijan,mining & metals
2005,united kingdom,education management
1997,united states,"health, wellness and fitness"
2007,united states,construction
2005,canada,furniture
2010,india,information technology and services
2017,united states,staffing and recruiting
1982,united states,telecommunications
2010,united kingdom,marketing and advertising
2014,united states,public relations and communications
2017,united states,marketing and advertising
2009,united states,sports
2017,france,farming
2009,malaysia,management consulting
1950,united states,non-profit organization management
1967,canada,"health, wellness and fitness"
1998,united states,construction
1980,united states,entertainment
2011,slovakia,non-profit organization management
2017,united states,real estate
1982,united states,alternative medicine
2009,singapore,management consulting
1994,sweden,import and export
2016,united states,management consulting
1996,united states,non-profit organization management
2014,sweden,internet
1995,united states,music
1988,spain,government administration
2004,denmark,management consulting
1998,australia,computer software
2011,united states,publishing
2015,brazil,food & beverages
2014,united states,media production
2014,united states,non-profit organization management
1964,united states,construction
