Year_founded,Country_Only,Industry
2013,chile,marketing and advertising
2006,spain,information technology and services
1969,canada,broadcast media
2001,united states,architecture & planning
2012,colombia,marketing and advertising
2013,ghana,consumer electronics
2009,spain,management consulting
2002,croatia,management consulting
2010,canada,computer software
2012,china,printing
2011,brazil,information technology and services
2002,sweden,telecommunications
1983,united states,construction
1995,united states,plastics
1987,united kingdom,management consulting
1991,united states,telecommunications
2003,united kingdom,medical practice
1997,new zealand,research
2008,south africa,financial services
2010,france,information technology and services
2001,united states,civic & social organization
2012,united states,law practice
1994,india,renewables & environment
2000,united states,computer software
2010,united states,entertainment
2013,united states,restaurants
2002,united states,primary/secondary education
2014,sweden,facilities services
2012,sweden,management consulting
2011,sweden,photography
2017,argentina,industrial automation
1993,canada,government relations
1952,united states,machinery
2005,portugal,photography
2012,united states,marketing and advertising
2010,brazil,mining & metals
2001,united states,information technology and services
2011,united states,consumer services
1894,united states,consumer goods
2012,belgium,oil & energy
1991,united states,construction
2016,united states,"leisure, travel & tourism"
2012,netherlands,renewables & environment
2017,united kingdom,staffing and recruiting
1986,united kingdom,consumer goods
1960,united states,electrical/electronic manufacturing
1981,united states,alternative dispute resolution
2015,australia,media production
2017,united states,design
2007,united states,"health, wellness and fitness"
2015,united states,hospital & health care
2013,spain,design
2018,india,internet
2007,united states,events services
2010,united states,hospital & health care
2010,greece,environmental services
2007,canada,medical practice
2010,united states,capital markets
1962,canada,hospitality
2011,chile,mining & metals
2009,italy,civic & social organization
2006,united states,computer software
2012,canada,computer software
2013,united states,venture capital & private equity
2009,united states,information technology and services
2011,united states,marketing and advertising
2010,china,telecommunications
2012,poland,management consulting
2002,ireland,building materials
2015,serbia,media production
2005,united states,photography
2010,united states,"leisure, travel & tourism"
1958,india,events services
1986,united states,environmental services
2014,canada,information services
2009,united states,computer software
2015,indonesia,information technology and services
2011,united states,computer software
2011,india,human resources
2013,united states,marketing and advertising
2014,brazil,information technology and services
2016,united states,renewables & environment
1999,brazil,information technology and services
1996,united states,information technology and services
2015,netherlands,design
2008,united states,law practice
1989,united states,renewables & environment
2017,united kingdom,oil & energy
1999,united states,law enforcement
2008,united states,information technology and services
2010,united states,real estate
1997,united arab emirates,construction
1980,united states,logistics and supply chain
2008,united states,entertainment
1989,norway,food production
2017,france,machinery
2014,canada,media production
1923,spain,utilities
2014,singapore,real estate
2012,chile,construction
2011,united kingdom,writing and editing
2014,canada,consumer goods
1980,united kingdom,construction
2014,canada,retail
2015,mexico,food & beverages
2006,brazil,marketing and advertising
1972,spain,hospitality
2010,united kingdom,facilities services
1997,switzerland,internet
2008,united states,"health, wellness and fitness"
2009,united states,wholesale
1992,spain,restaurants
1926,austria,apparel & fashion
2015,canada,logistics and supply chain
1935,united states,machinery
2011,united states,retail
2016,india,information technology and services
1939,netherlands,maritime
2008,united states,design
1974,united states,religious institutions
2012,brazil,renewables & environment
2010,united states,management consulting
1978,brazil,mechanical or industrial engineering
2013,argentina,human resources
1994,russia,information technology and services
2016,united states,individual & family services
2014,united kingdom,staffing and recruiting
1994,france,financial services
