Year_founded,Country_Only,Industry
1972,italy,construction
1993,united states,recreational facilities and services
2007,united states,religious institutions
2014,united states,restaurants
1957,netherlands,construction
2008,italy,architecture & planning
2007,india,information technology and services
2004,italy,marketing and advertising
1992,united kingdom,information technology and services
2004,france,"health, wellness and fitness"
2008,united states,wine and spirits
2009,united states,hospital & health care
2013,chile,professional training & coaching
2017,united kingdom,marketing and advertising
2008,united states,construction
1996,united states,environmental services
2010,spain,design
2004,united states,management consulting
2017,united states,internet
2008,united states,insurance
2015,netherlands,management consulting
1998,indonesia,construction
2009,france,internet
2006,poland,investment management
2015,united kingdom,staffing and recruiting
2005,sri lanka,entertainment
2015,france,financial services
1951,spain,construction
2012,united states,facilities services
1981,united states,management consulting
1991,netherlands,construction
1997,south africa,facilities services
2014,spain,marketing and advertising
1974,australia,transportation/trucking/railroad
1998,united states,hospital & health care
2008,china,human resources
2006,united states,transportation/trucking/railroad
1963,united states,computer software
1991,france,management consulting
2010,denmark,information technology and services
1820,united kingdom,writing and editing
2015,finland,marketing and advertising
2008,united states,computer software
2000,united kingdom,information technology and services
2016,israel,music
2002,united states,information technology and services
2013,united kingdom,non-profit organization management
1976,united states,marketing and advertising
2013,united kingdom,international trade and development
2009,united states,renewables & environment
2001,sweden,events services
1871,united kingdom,newspapers
2017,united states,online media
1988,united states,building materials
2010,singapore,architecture & planning
1900,united states,retail
2010,united kingdom,mental health care
2011,india,information technology and services
1995,india,renewables & environment
1999,united kingdom,transportation/trucking/railroad
2009,united states,consumer electronics
1994,united states,hospital & health care
1999,canada,insurance
1997,united states,legal services
2000,canada,marketing and advertising
2005,united states,information technology and services
2018,united states,apparel & fashion
2007,united states,public policy
2011,united states,events services
1955,netherlands,food & beverages
2009,united states,furniture
1900,united states,marketing and advertising
1971,argentina,oil & energy
2017,denmark,education management
2013,united states,medical devices
2016,nigeria,financial services
2010,france,entertainment
1996,france,package/freight delivery
2006,united kingdom,luxury goods & jewelry
2014,belgium,outsourcing/offshoring
2009,united kingdom,public relations and communications
2010,india,non-profit organization management
1883,united states,food & beverages
2010,united states,automotive
1985,united kingdom,food & beverages
2010,united states,marketing and advertising
2005,canada,information services
2015,united states,music
1998,italy,music
2002,united states,pharmaceuticals
2002,brazil,financial services
2015,united states,consumer goods
2017,netherlands,environmental services
2009,united kingdom,information technology and services
2012,spain,internet
2015,italy,management consulting
2016,germany,marketing and advertising
1995,united states,real estate
2009,united states,consumer electronics
2012,united states,"leisure, travel & tourism"
1998,south africa,"health, wellness and fitness"
1985,united kingdom,animation
2014,united states,real estate
2007,united states,computer software
1978,united kingdom,mechanical or industrial engineering
2008,uruguay,information technology and services
2006,canada,graphic design
2016,austria,internet
2008,united states,transportation/trucking/railroad
2013,united states,e-learning
2015,iran,retail
2003,belgium,hospital & health care
2016,france,construction
1943,united states,law enforcement
2013,denmark,venture capital & private equity
2009,china,facilities services
2000,new zealand,construction
