Year_founded,Country_Only,Industry
2011,united kingdom,construction
1883,australia,transportation/trucking/railroad
2009,costa rica,telecommunications
2004,india,computer software
1995,spain,import and export
2017,france,industrial automation
1969,new zealand,plastics
2009,united states,hospital & health care
2017,canada,events services
2012,united states,computer software
2016,united states,real estate
2015,brazil,professional training & coaching
2003,united states,environmental services
2016,united kingdom,marketing and advertising
2012,sweden,management consulting
1974,united states,photography
1999,united kingdom,transportation/trucking/railroad
2015,united states,"health, wellness and fitness"
1996,united kingdom,food & beverages
1929,united states,primary/secondary education
2008,united states,information technology and services
2009,united kingdom,construction
2011,india,human resources
2009,united states,consumer goods
2009,united states,media production
2009,united states,venture capital & private equity
2016,france,staffing and recruiting
1984,australia,"glass, ceramics & concrete"
2014,brazil,industrial automation
2016,united states,hospital & health care
1996,slovakia,electrical/electronic manufacturing
2010,united states,information technology and services
2011,united states,civic & social organization
1994,spain,international trade and development
1995,united states,design
2014,bangladesh,computer software
2013,netherlands,real estate
2006,india,pharmaceuticals
2014,belgium,industrial automation
2013,south africa,professional training & coaching
2015,portugal,events services
2016,united states,entertainment
2014,canada,computer software
1969,united states,architecture & planning
2006,belgium,information technology and services
2017,poland,information technology and services
2008,argentina,legal services
2016,spain,financial services
1928,united states,religious institutions
1970,united states,textiles
1987,canada,sporting goods
2018,new zealand,hospitality
2014,united states,individual & family services
1970,france,shipbuilding
2016,canada,real estate
1997,brazil,information technology and services
2001,united states,telecommunications
2013,singapore,events services
1964,united states,insurance
1985,united states,accounting
1988,iran,transportation/trucking/railroad
2015,italy,real estate
2016,united states,medical practice
2007,egypt,recreational facilities and services
2006,united states,telecommunications
2013,canada,architecture & planning
2009,united states,financial services
1990,germany,machinery
2008,estonia,computer hardware
2017,united states,wireless
1986,united states,defense & space
2001,united states,retail
2012,sweden,hospitality
1889,united states,non-profit organization management
2016,switzerland,construction
2000,united states,automotive
2016,united states,restaurants
2010,united states,investment banking
2002,united states,transportation/trucking/railroad
1970,argentina,chemicals
1998,united states,food & beverages
2014,hong kong,education management
2008,united states,marketing and advertising
2012,netherlands,business supplies and equipment
1997,united states,accounting
2004,united kingdom,information technology and services
1983,united states,financial services
1998,new zealand,fund-raising
2016,united kingdom,environmental services
1998,united states,accounting
2005,france,marketing and advertising
2010,peru,renewables & environment
2006,spain,internet
1987,australia,events services
1961,united kingdom,construction
2010,united states,management consulting
1985,united states,investment management
2015,lithuania,information technology and services
2013,united states,law practice
2014,south korea,import and export
2012,united states,staffing and recruiting
2016,united kingdom,newspapers
1990,united states,legal services
2007,new zealand,wine and spirits
2016,united states,environmental services
1994,colombia,"health, wellness and fitness"
2007,colombia,higher education
2015,united kingdom,photography
2015,netherlands,hospital & health care
2014,united kingdom,consumer services
1997,argentina,photography
2011,united states,computer software
2001,netherlands,information technology and services
2014,italy,publishing
1997,united states,construction
2014,hong kong,real estate
2011,united states,legal services
2015,luxembourg,furniture
1981,indonesia,design
2006,united states,building materials
1985,united states,non-profit organization management
1989,united states,medical devices
2015,south africa,marketing and advertising
2016,india,architecture & planning
2004,spain,law practice
1996,canada,construction
2002,netherlands,construction
2013,united states,transportation/trucking/railroad
2009,thailand,hospitality
2004,new zealand,internet
2001,united states,electrical/electronic manufacturing
2008,spain,professional training & coaching
2017,netherlands,financial services
1990,united states,government relations
1989,united states,hospitality
2017,canada,internet
1991,iran,investment management
2004,denmark,music
2006,united kingdom,pharmaceuticals
2013,united states,design
2009,united states,luxury goods & jewelry
2007,united states,construction
2009,united states,entertainment
2012,united states,marketing and advertising
2007,belgium,industrial automation
2015,united kingdom,online media
2015,united states,music
2009,mexico,electrical/electronic manufacturing
2016,netherlands,executive office
1985,united states,marketing and advertising
1989,united kingdom,accounting
2002,united kingdom,construction
1979,brazil,accounting
1978,france,business supplies and equipment
2010,united kingdom,primary/secondary education
2016,new zealand,events services
2015,ireland,information technology and services
2016,argentina,accounting
2014,netherlands,"health, wellness and fitness"
2016,netherlands,staffing and recruiting
2004,united states,marketing and advertising
2017,romania,marketing and advertising
2013,ukraine,information technology and services
2017,france,design
2008,united states,banking
2004,united states,construction
2014,united kingdom,education management
1973,united kingdom,mechanical or industrial engineering
2005,mexico,"health, wellness and fitness"
2015,turkey,marketing and advertising
2016,united states,management consulting
2016,indonesia,information technology and services
1989,spain,information technology and services
2007,ireland,marketing and advertising
2011,united states,computer software
2013,azerbaijan,food & beverages
2015,switzerland,events services
2015,united states,automotive
2001,united kingdom,photography
2017,united states,marketing and advertising
2011,united states,information technology and services
2008,united states,entertainment
2015,colombia,information technology and services
1863,united kingdom,mechanical or industrial engineering
2016,latvia,information technology and services
2013,india,human resources
2012,united states,e-learning
2005,spain,construction
2009,united states,recreational facilities and services
2000,netherlands,information technology and services
2002,united states,photography
2012,united states,commercial real estate
2005,united states,photography
2015,united states,aviation & aerospace
2016,canada,security and investigations
2014,united kingdom,financial services
