Year_founded,Country_Only,Industry
2006,united states,wine and spirits
2016,united states,international affairs
2011,united states,food & beverages
2012,united states,e-learning
1999,south africa,staffing and recruiting
2012,germany,marketing and advertising
2003,ireland,insurance
1979,united kingdom,"health, wellness and fitness"
1990,united states,individual & family services
2001,united states,financial services
2017,germany,insurance
2003,united states,non-profit organization management
1964,italy,machinery
2016,united states,real estate
1994,canada,information services
2007,brazil,industrial automation
2011,united states,food & beverages
1990,united states,information technology and services
2013,italy,civic & social organization
2012,france,"leisure, travel & tourism"
2015,united states,hospital & health care
1882,united kingdom,sports
1996,czechia,paper & forest products
2000,united states,real estate
2007,canada,non-profit organization management
1966,united states,education management
1996,thailand,telecommunications
2014,united states,events services
1979,ireland,facilities services
1993,united states,professional training & coaching
1994,brazil,wholesale
2010,canada,construction
2012,united states,automotive
1998,united states,professional training & coaching
1980,ecuador,law practice
2011,united states,recreational facilities and services
2013,mexico,marketing and advertising
2008,netherlands,sports
2006,united states,media production
2016,india,computer software
2013,india,architecture & planning
1937,united states,real estate
1987,united states,food & beverages
2015,finland,entertainment
2001,united states,computer networking
2009,australia,apparel & fashion
1991,united states,consumer goods
1996,portugal,marketing and advertising
1873,united states,mechanical or industrial engineering
1997,united states,recreational facilities and services
2008,india,industrial automation
2013,united states,staffing and recruiting
2008,united states,military
1985,united states,construction
2013,turkey,defense & space
1967,united states,law practice
2003,france,law practice
2008,united states,information technology and services
1878,italy,wine and spirits
1993,turkey,"glass, ceramics & concrete"
1989,canada,food production
2012,brazil,management consulting
2015,canada,online media
2001,netherlands,architecture & planning
2010,canada,construction
2009,united kingdom,staffing and recruiting
1990,france,media production
1999,united states,information technology and services
2017,denmark,media production
2009,united states,hospital & health care
2009,india,computer software
2010,united states,research
2014,canada,real estate
1974,china,financial services
1989,south africa,entertainment
2017,united states,automotive
2007,lebanon,education management
2009,canada,real estate
1998,united states,information technology and services
1990,united kingdom,industrial automation
1974,united states,design
2016,united states,real estate
1974,united states,real estate
2010,china,medical devices
2015,united states,wholesale
2007,united states,real estate
2003,peru,investment banking
2018,united states,information technology and services
2004,indonesia,architecture & planning
2015,united kingdom,entertainment
1957,netherlands,international trade and development
2012,brazil,information technology and services
2013,france,consumer electronics
1980,egypt,information technology and services
1992,united states,environmental services
2004,united states,construction
1988,australia,"health, wellness and fitness"
2006,india,computer software
2009,canada,non-profit organization management
2016,saudi arabia,information technology and services
2000,netherlands,staffing and recruiting
2001,united states,legal services
1999,united states,real estate
1984,canada,logistics and supply chain
2000,united states,design
1988,united kingdom,staffing and recruiting
2010,netherlands,human resources
1991,united states,online media
2008,united states,automotive
2007,spain,mechanical or industrial engineering
2011,india,marketing and advertising
2006,united states,design
1993,united kingdom,real estate
2015,south africa,market research
2006,netherlands,broadcast media
2007,australia,staffing and recruiting
1997,united states,"health, wellness and fitness"
1995,spain,professional training & coaching
2009,france,individual & family services
2003,united states,education management
1977,netherlands,building materials
2005,switzerland,financial services
2014,united states,construction
2012,united kingdom,education management
2009,spain,consumer goods
1995,united states,entertainment
2007,france,nanotechnology
2007,canada,staffing and recruiting
2018,united states,entertainment
1997,italy,information technology and services
1999,united kingdom,education management
2014,spain,professional training & coaching
1983,united states,market research
1981,united states,construction
2014,united states,investment management
1993,italy,marketing and advertising
2009,united states,computer software
2012,sweden,sports
2000,united states,research
2014,china,consumer electronics
1992,italy,professional training & coaching
1992,canada,animation
2011,mexico,security and investigations
2008,united states,construction
2016,brazil,education management
2006,france,professional training & coaching
1996,france,food production
2015,united states,public relations and communications
2010,india,information technology and services
2017,slovenia,computer software
2017,australia,professional training & coaching
1985,united states,construction
2012,spain,legal services
2000,spain,consumer electronics
2007,united states,non-profit organization management
1990,italy,events services
2006,norway,information technology and services
2003,united kingdom,professional training & coaching
2004,france,telecommunications
1875,new zealand,automotive
2009,canada,retail
1973,spain,human resources
1972,brazil,outsourcing/offshoring
2006,france,information technology and services
2012,united states,oil & energy
2009,romania,internet
1984,united states,financial services
1982,canada,furniture
1989,argentina,environmental services
2013,poland,internet
2005,united states,philanthropy
2004,united states,"health, wellness and fitness"
2000,turkey,non-profit organization management
2015,united states,computer software
2016,hong kong,investment management
2016,nigeria,real estate
2016,chile,information technology and services
1809,canada,international trade and development
1986,united kingdom,public safety
2016,united states,cosmetics
2005,united states,executive office
2013,france,aviation & aerospace
2012,portugal,printing
2000,united states,marketing and advertising
2012,australia,"leisure, travel & tourism"
2006,australia,information technology and services
2007,united states,biotechnology
2015,united states,automotive
1997,united states,luxury goods & jewelry
1984,spain,non-profit organization management
2009,brazil,human resources
1997,united states,"health, wellness and fitness"
1994,spain,marketing and advertising
1990,united states,architecture & planning
2011,united states,entertainment
2008,germany,information technology and services
1981,united states,marketing and advertising
1984,united states,oil & energy
2004,canada,machinery
2004,netherlands,non-profit organization management
2013,united states,oil & energy
1968,iran,electrical/electronic manufacturing
2012,united states,consumer electronics
1993,india,marketing and advertising
1989,chile,transportation/trucking/railroad
2008,united kingdom,computer software
2003,finland,management consulting
2004,united states,staffing and recruiting
2009,united states,online media
1990,france,furniture
1999,canada,retail
1995,netherlands,medical devices
1910,united states,education management
1995,colombia,information technology and services
2013,united states,computer software
2011,united kingdom,marketing and advertising
2005,united kingdom,transportation/trucking/railroad
