Year_founded,Country_Only,Industry
2009,united states,management consulting
2006,united kingdom,retail
2014,united kingdom,accounting
2010,united states,import and export
2017,united states,business supplies and equipment
2007,netherlands,human resources
1960,united states,construction
1996,australia,sports
2010,united states,information technology and services
1978,united states,hospitality
2011,united states,design
2012,canada,non-profit organization management
2014,france,management consulting
2005,netherlands,renewables & environment
2016,canada,"leisure, travel & tourism"
2011,south africa,information technology and services
2016,united states,recreational facilities and services
2000,united states,real estate
2010,united states,medical devices
2013,austria,entertainment
2015,united states,consumer goods
2008,spain,real estate
2015,united states,real estate
2012,spain,photography
2008,united states,computer software
1997,canada,entertainment
2003,brazil,higher education
2016,poland,construction
2008,united kingdom,management consulting
2014,australia,market research
2016,canada,accounting
2013,united states,management consulting
2015,united states,luxury goods & jewelry
2015,france,insurance
1996,united states,automotive
2005,united states,marketing and advertising
2017,united states,information technology and services
2016,united kingdom,design
1992,australia,electrical/electronic manufacturing
2013,south africa,accounting
1997,united states,commercial real estate
2016,italy,farming
2006,hong kong,fine art
2014,spain,sports
2016,united states,marketing and advertising
2002,netherlands,events services
2005,new zealand,computer software
2013,united states,education management
1995,united states,construction
2006,australia,financial services
1995,portugal,printing
2015,france,civic & social organization
2014,south africa,computer software
2013,united states,hospital & health care
2017,canada,package/freight delivery
2017,united states,real estate
2017,belgium,management consulting
1977,italy,events services
2010,united kingdom,retail
2016,france,environmental services
2011,united kingdom,food & beverages
1993,china,electrical/electronic manufacturing
1971,france,non-profit organization management
2011,united states,information technology and services
2016,portugal,marketing and advertising
2011,united states,renewables & environment
1998,united states,environmental services
2003,united states,electrical/electronic manufacturing
1990,brazil,computer software
2005,united states,construction
2008,lithuania,internet
2015,brazil,management consulting
1997,netherlands,translation and localization
2014,ireland,computer software
2016,malaysia,information technology and services
1989,united kingdom,marketing and advertising
2010,lithuania,construction
2009,italy,marketing and advertising
2014,united states,information technology and services
2002,united kingdom,staffing and recruiting
2012,united states,education management
2013,united states,staffing and recruiting
2000,united states,financial services
2010,united states,information technology and services
2013,united states,consumer goods
2015,australia,"leisure, travel & tourism"
2014,brazil,insurance
1991,italy,media production
2010,united kingdom,legal services
1995,united kingdom,information technology and services
2009,italy,online media
2017,denmark,oil & energy
2002,canada,construction
2010,united kingdom,market research
2013,brazil,computer software
2011,denmark,internet
2012,colombia,oil & energy
2011,france,management consulting
2013,canada,marketing and advertising
2010,france,pharmaceuticals
2014,colombia,information technology and services
2012,turkey,marketing and advertising
2005,australia,education management
2011,united states,construction
1974,united states,furniture
2017,canada,legal services
2017,united states,marketing and advertising
1901,canada,primary/secondary education
2015,mexico,food & beverages
2009,united states,information technology and services
2013,germany,"leisure, travel & tourism"
2016,united states,computer software
2011,brazil,sports
2003,new zealand,"health, wellness and fitness"
2003,united states,construction
1955,italy,apparel & fashion
2015,italy,civic & social organization
2010,canada,internet
2004,brazil,events services
1991,united states,information technology and services
1998,benin,information technology and services
1991,malaysia,import and export
2009,united states,financial services
2015,philippines,financial services
2015,chile,media production
2013,united kingdom,events services
2004,canada,music
2006,united states,professional training & coaching
2012,united states,management consulting
2013,united states,publishing
1980,united states,automotive
2009,ireland,information technology and services
2014,italy,environmental services
2013,italy,professional training & coaching
1990,switzerland,mechanical or industrial engineering
1999,france,law practice
2004,belgium,insurance
2009,colombia,information technology and services
2015,united kingdom,environmental services
1992,netherlands,management consulting
1969,finland,logistics and supply chain
2018,united states,non-profit organization management
2006,united states,professional training & coaching
2017,argentina,food production
2014,united states,management consulting
1990,united states,civil engineering
2010,argentina,marketing and advertising
2011,united states,"health, wellness and fitness"
2015,italy,motion pictures and film
1995,united states,machinery
2010,saudi arabia,motion pictures and film
2010,united kingdom,information technology and services
