Year_founded,Country_Only,Industry
2014,united kingdom,import and export
1985,united states,professional training & coaching
2011,united states,construction
2015,united states,law practice
1971,france,retail
2013,united kingdom,logistics and supply chain
2000,united states,management consulting
2009,united states,marketing and advertising
2013,united states,marketing and advertising
2016,burkina faso,computer software
2007,united states,information technology and services
2012,united states,computer software
2015,united states,international trade and development
2013,united kingdom,real estate
1988,united states,construction
2017,united states,staffing and recruiting
2002,united states,recreational facilities and services
2016,united states,market research
2010,united states,environmental services
1997,portugal,information technology and services
2002,gambia,hospitality
2002,belgium,construction
2015,singapore,information technology and services
2015,united states,logistics and supply chain
2014,canada,design
2010,brazil,real estate
2009,united states,information technology and services
2016,united kingdom,real estate
1999,united arab emirates,food & beverages
2017,united states,"health, wellness and fitness"
2009,canada,arts and crafts
2012,united states,information technology and services
1997,germany,computer software
2009,south africa,human resources
2015,united states,real estate
2011,belgium,mental health care
2014,united states,law practice
2014,india,design
1999,united states,building materials
2017,united kingdom,management consulting
1999,united states,market research
2013,united states,apparel & fashion
2003,norway,broadcast media
2006,united states,renewables & environment
2016,united kingdom,hospitality
2000,united kingdom,information technology and services
2013,denmark,events services
2009,ukraine,computer software
2013,kazakhstan,internet
2017,united states,information services
2006,united states,management consulting
2017,united states,consumer goods
2014,taiwan,education management
2014,new zealand,individual & family services
2004,mexico,higher education
2015,hong kong,information technology and services
2005,united states,marketing and advertising
2014,united states,law practice
2010,georgia,hospitality
1996,netherlands,retail
2007,united states,construction
2017,united states,e-learning
2015,brazil,media production
2011,germany,management consulting
2018,united states,information services
2009,spain,architecture & planning
2014,united states,marketing and advertising
2016,united states,design
2015,france,wine and spirits
2012,netherlands,information technology and services
2015,singapore,management consulting
1968,united states,education management
2002,united kingdom,telecommunications
2017,united states,internet
2010,colombia,telecommunications
2010,canada,internet
2010,greece,cosmetics
2015,south africa,marketing and advertising
2011,brazil,restaurants
2016,india,food & beverages
2014,italy,media production
2010,united states,accounting
1861,united states,government administration
2013,united states,"health, wellness and fitness"
2017,brazil,professional training & coaching
2011,united states,medical practice
2013,sri lanka,apparel & fashion
2015,turkey,"health, wellness and fitness"
2007,united states,events services
2013,ireland,broadcast media
1995,puerto rico,information technology and services
2005,united kingdom,events services
2015,spain,marketing and advertising
2003,united states,commercial real estate
2016,united states,events services
1992,united kingdom,computer software
1995,brazil,marketing and advertising
2015,poland,civic & social organization
2004,italy,international trade and development
1921,united states,real estate
2008,united states,law practice
2009,united states,building materials
2013,spain,internet
2017,united states,management consulting
2004,united states,construction
2017,australia,accounting
2015,united states,media production
2006,france,wine and spirits
2015,united states,computer software
2017,united states,wireless
1998,united states,human resources
2010,netherlands,recreational facilities and services
1997,united states,design
2016,netherlands,textiles
2015,united states,philanthropy
2006,united states,legal services
2013,united states,real estate
2017,france,construction
2007,singapore,"leisure, travel & tourism"
2016,united states,printing
1990,norway,real estate
1919,italy,wine and spirits
2011,united states,luxury goods & jewelry
1987,united states,media production
1925,united states,government administration
2011,united kingdom,"leisure, travel & tourism"
2017,united states,"health, wellness and fitness"
2009,united states,marketing and advertising
2011,united states,electrical/electronic manufacturing
2016,netherlands,food & beverages
2013,united states,renewables & environment
2016,united states,furniture
2000,united states,consumer services
2011,united states,apparel & fashion
2013,denmark,design
2010,france,computer software
2017,netherlands,information technology and services
2010,united states,information technology and services
2012,united states,transportation/trucking/railroad
2008,italy,medical practice
2013,united states,design
2016,united states,"health, wellness and fitness"
2001,canada,individual & family services
2009,canada,photography
2001,venezuela,information technology and services
2015,spain,food & beverages
2015,tanzania,e-learning
2017,singapore,hospitality
2014,australia,law practice
2016,united kingdom,marketing and advertising
2003,iran,construction
2016,australia,staffing and recruiting
2008,italy,events services
2012,italy,"leisure, travel & tourism"
2016,united states,information technology and services
2011,india,information technology and services
2017,canada,computer software
2012,united kingdom,public relations and communications
1942,united states,business supplies and equipment
2015,united states,management consulting
2007,united kingdom,publishing
2016,united states,financial services
2006,greece,primary/secondary education
2015,netherlands,architecture & planning
2012,united states,consumer electronics
1997,india,"health, wellness and fitness"
2018,united states,marketing and advertising
2016,united states,consumer goods
2005,france,accounting
2005,saudi arabia,"health, wellness and fitness"
2008,japan,construction
1984,netherlands,construction
2006,united states,professional training & coaching
2015,india,internet
2017,colombia,program development
2015,united states,transportation/trucking/railroad
2011,united states,insurance
2010,united states,internet
2013,nigeria,construction
2015,chile,real estate
1996,finland,public relations and communications
2004,sweden,information technology and services
1945,united states,retail
2013,france,alternative dispute resolution
2016,netherlands,mechanical or industrial engineering
2012,norway,mental health care
2015,france,management consulting
2010,israel,information technology and services
2009,united states,professional training & coaching
2014,turkey,information technology and services
2008,united kingdom,construction
2006,united kingdom,consumer services
2016,brazil,architecture & planning
2008,united kingdom,computer software
2014,united states,hospitality
