Year_founded,Country_Only,Industry
2011,united states,e-learning
2001,united kingdom,real estate
2016,brazil,printing
2017,côte d’ivoire,marketing and advertising
2015,united arab emirates,retail
2014,switzerland,chemicals
2002,united states,legal services
2014,guatemala,human resources
2012,spain,building materials
2008,united states,marketing and advertising
1997,united states,civic & social organization
2010,spain,architecture & planning
1975,united states,financial services
2006,spain,events services
2017,austria,marketing and advertising
2007,netherlands,international trade and development
2012,united states,online media
2009,india,information technology and services
1998,mexico,information technology and services
2015,australia,automotive
2015,italy,management consulting
2006,italy,information technology and services
1997,united kingdom,management consulting
2009,finland,sports
2017,united states,media production
2016,united kingdom,"leisure, travel & tourism"
2014,canada,publishing
1983,india,human resources
2015,netherlands,internet
2011,france,media production
2017,guadeloupe,management consulting
2011,india,"health, wellness and fitness"
2010,switzerland,furniture
2001,colombia,information technology and services
2012,united states,insurance
2002,united states,design
2016,australia,construction
2009,united states,information technology and services
1994,united states,information technology and services
2016,france,sports
1998,united kingdom,furniture
2006,romania,security and investigations
2015,united kingdom,non-profit organization management
2017,united states,photography
2010,united states,financial services
2012,united states,venture capital & private equity
1979,china,paper & forest products
2008,china,consumer electronics
2003,united states,environmental services
2009,luxembourg,management consulting
2006,united states,computer software
2011,brazil,architecture & planning
2014,australia,information technology and services
2013,united kingdom,restaurants
1940,greece,printing
2015,colombia,architecture & planning
2011,netherlands,staffing and recruiting
2016,brazil,environmental services
2006,brazil,apparel & fashion
2015,netherlands,"leisure, travel & tourism"
2006,netherlands,management consulting
1973,united states,fund-raising
1993,romania,construction
2004,united kingdom,retail
1958,canada,architecture & planning
2012,united states,professional training & coaching
2013,united states,renewables & environment
1998,united states,sports
2016,canada,pharmaceuticals
1987,united states,consumer services
2007,united states,broadcast media
2017,new zealand,philanthropy
2017,brazil,marketing and advertising
2016,united states,real estate
2012,south africa,real estate
2009,united kingdom,mechanical or industrial engineering
1988,spain,renewables & environment
1995,canada,marketing and advertising
1993,united states,biotechnology
2014,united states,staffing and recruiting
2016,united states,marketing and advertising
2017,canada,education management
2011,brazil,design
2017,indonesia,information technology and services
2010,united states,management consulting
2016,portugal,information technology and services
1990,brazil,computer software
2010,united states,publishing
1996,united states,design
2007,united states,non-profit organization management
1996,brazil,"health, wellness and fitness"
1995,united states,restaurants
1934,united states,music
2017,sweden,marketing and advertising
1960,united kingdom,"leisure, travel & tourism"
1999,canada,hospital & health care
2016,united states,music
2015,new zealand,professional training & coaching
2017,italy,consumer goods
2017,canada,aviation & aerospace
2008,zimbabwe,information technology and services
2004,united states,cosmetics
1970,united states,machinery
2015,germany,consumer electronics
2011,australia,sports
2003,united states,investment management
1984,germany,food & beverages
2015,pakistan,graphic design
1997,united states,internet
2015,italy,printing
1971,united kingdom,real estate
2008,spain,"health, wellness and fitness"
2008,united states,professional training & coaching
1987,spain,law practice
2013,sweden,"health, wellness and fitness"
1977,italy,printing
2015,spain,professional training & coaching
2003,united states,professional training & coaching
2013,ireland,sporting goods
2012,united states,marketing and advertising
2006,united kingdom,education management
2011,germany,automotive
2010,united kingdom,"leisure, travel & tourism"
2000,netherlands,online media
2011,united states,religious institutions
2010,united kingdom,environmental services
1989,united kingdom,transportation/trucking/railroad
1960,spain,machinery
2015,france,internet
2015,india,automotive
2004,canada,chemicals
2006,netherlands,fine art
2017,united states,management consulting
2010,united states,management consulting
2017,united states,automotive
2005,china,information technology and services
2010,united kingdom,medical practice
2017,russia,e-learning
2017,egypt,computer & network security
1982,united states,electrical/electronic manufacturing
1993,united states,food & beverages
2012,united states,computer software
2005,sweden,entertainment
2005,united states,aviation & aerospace
2016,united states,computer software
2014,australia,management consulting
2016,finland,computer software
1996,united kingdom,security and investigations
1985,united states,staffing and recruiting
2012,united states,publishing
2016,united states,marketing and advertising
2011,new zealand,information technology and services
2005,australia,information technology and services
2017,china,non-profit organization management
2013,united states,computer & network security
2003,united states,professional training & coaching
2017,united states,law practice
2008,united states,marketing and advertising
2016,united states,real estate
2016,united states,entertainment
2013,spain,machinery
2006,spain,financial services
2011,spain,motion pictures and film
2009,france,machinery
2015,spain,newspapers
2017,united kingdom,retail
2009,canada,graphic design
2018,united kingdom,renewables & environment
2016,vietnam,information technology and services
2018,united states,real estate
2013,united states,marketing and advertising
2013,canada,food & beverages
2013,united states,food & beverages
1978,denmark,medical devices
2015,united states,motion pictures and film
1997,united states,retail
2016,united states,computer software
2013,cyprus,research
2016,argentina,graphic design
2000,australia,design
2006,united states,renewables & environment
2012,spain,accounting
2017,united states,e-learning
2012,united states,entertainment
2008,united states,market research
2014,india,marketing and advertising
2015,united kingdom,consumer services
2015,united states,religious institutions
2009,united states,management consulting
1992,united kingdom,mechanical or industrial engineering
2017,germany,management consulting
1996,united states,e-learning
2005,united states,legal services
2013,netherlands,sporting goods
2011,sweden,fund-raising
2016,united states,hospitality
1994,united states,construction
2012,norway,commercial real estate
2016,united states,sports
2015,united states,law practice
2012,chile,mechanical or industrial engineering
2009,india,textiles
2015,united states,financial services
2007,india,entertainment
2011,united states,airlines/aviation
2015,united states,marketing and advertising
2003,australia,design
1986,poland,architecture & planning
2016,india,information technology and services
2018,united states,human resources
2011,canada,management consulting
2015,spain,design
2012,ghana,education management
1998,canada,non-profit organization management
2009,canada,marketing and advertising
2015,indonesia,retail
1978,netherlands,photography
2010,italy,automotive
2015,australia,online media
2013,united states,transportation/trucking/railroad
2005,canada,pharmaceuticals
2014,united states,computer software
1934,switzerland,law practice
2014,india,information technology and services
2011,united states,staffing and recruiting
2017,canada,venture capital & private equity
2013,france,computer software
2005,colombia,computer software
2006,united states,law practice
2003,united states,construction
1994,united states,sports
1901,united states,non-profit organization management
1994,united states,photography
2014,netherlands,information technology and services
2012,china,architecture & planning
2006,spain,non-profit organization management
2008,united states,apparel & fashion
2017,belgium,real estate
2016,united states,marketing and advertising
1996,spain,management consulting
2008,brazil,environmental services
2002,brazil,publishing
2018,united states,publishing
2009,belgium,retail
2017,india,education management
2000,spain,real estate
2008,australia,accounting
2014,australia,staffing and recruiting
1984,united states,information technology and services
