Year_founded,Country_Only,Industry
2008,india,consumer goods
2002,netherlands,real estate
1972,united kingdom,construction
1979,united states,real estate
2008,spain,marketing and advertising
2000,united states,food production
1980,united kingdom,renewables & environment
1985,canada,real estate
2000,united kingdom,staffing and recruiting
1945,switzerland,information technology and services
1983,ireland,business supplies and equipment
1977,italy,information technology and services
1916,united states,insurance
2002,argentina,internet
2011,united states,government relations
1965,belgium,non-profit organization management
1997,switzerland,insurance
1979,united states,mechanical or industrial engineering
2013,hungary,real estate
2005,united states,insurance
1974,hong kong,religious institutions
2003,united states,automotive
2014,united states,internet
2004,canada,hospitality
1964,argentina,pharmaceuticals
2008,united states,"health, wellness and fitness"
2007,norway,e-learning
2004,united kingdom,staffing and recruiting
1961,austria,professional training & coaching
1970,united states,mechanical or industrial engineering
1992,germany,information technology and services
1916,united states,construction
2016,italy,computer software
2003,united states,"health, wellness and fitness"
2005,australia,non-profit organization management
1983,united states,security and investigations
2015,brazil,civic & social organization
2014,united kingdom,information technology and services
1996,spain,e-learning
2012,netherlands,textiles
2007,france,renewables & environment
2014,india,transportation/trucking/railroad
2008,netherlands,renewables & environment
2003,united states,real estate
2009,france,telecommunications
2012,netherlands,human resources
1980,united states,accounting
1989,spain,motion pictures and film
1992,france,marketing and advertising
2000,brazil,import and export
2000,united states,information technology and services
2005,united states,luxury goods & jewelry
2001,netherlands,human resources
1978,united states,machinery
1980,netherlands,architecture & planning
1942,lebanon,machinery
1927,chile,automotive
1999,united states,entertainment
2012,switzerland,human resources
2005,australia,marketing and advertising
1999,united states,environmental services
2013,india,marketing and advertising
2004,united kingdom,real estate
2009,united states,civil engineering
1995,belgium,maritime
2005,russia,computer software
2015,bangladesh,marketing and advertising
2016,france,computer software
2015,united kingdom,fine art
2001,denmark,medical devices
2003,united states,staffing and recruiting
2017,france,online media
2010,israel,design
1995,serbia,publishing
2010,canada,information technology and services
1990,united states,environmental services
2007,united states,computer software
2005,united states,real estate
2016,united kingdom,management consulting
2013,canada,internet
1998,canada,professional training & coaching
2009,canada,consumer electronics
2015,france,marketing and advertising
2017,united kingdom,biotechnology
1963,united states,automotive
2002,united states,events services
2012,canada,research
2002,united states,construction
2005,spain,hospital & health care
1996,sweden,"leisure, travel & tourism"
2014,sweden,marketing and advertising
2015,canada,entertainment
2014,united states,internet
2011,spain,education management
2012,france,law practice
1993,united states,non-profit organization management
1995,united states,sports
2011,israel,marketing and advertising
1993,united states,medical practice
2016,italy,information technology and services
1997,united states,telecommunications
1984,united states,real estate
2017,united states,government relations
1995,netherlands,construction
1985,canada,financial services
2011,united states,retail
2012,indonesia,information technology and services
1981,australia,accounting
2017,france,retail
1978,canada,furniture
2008,canada,legal services
2010,spain,design
2009,egypt,food & beverages
2009,united states,renewables & environment
2003,united states,management consulting
2009,portugal,veterinary
2016,united states,financial services
