Year_founded,Country_Only,Industry
2016,sweden,staffing and recruiting
1997,netherlands,mechanical or industrial engineering
2016,china,hospitality
2005,ireland,higher education
1894,united states,insurance
2011,canada,apparel & fashion
1986,spain,primary/secondary education
2002,united states,insurance
2008,australia,information technology and services
2009,united kingdom,broadcast media
2012,italy,business supplies and equipment
1991,brazil,computer software
2015,united states,marketing and advertising
1971,mauritius,information technology and services
2011,united states,investment management
1995,united states,real estate
2005,united states,law practice
2012,canada,broadcast media
2012,uganda,government administration
1997,united states,construction
2016,united states,information technology and services
2017,netherlands,accounting
2013,united kingdom,professional training & coaching
1993,netherlands,financial services
2009,united states,management consulting
2016,italy,civic & social organization
2013,india,information technology and services
2015,united states,computer software
2009,france,"leisure, travel & tourism"
2017,china,pharmaceuticals
2010,united states,furniture
1932,united states,food production
1981,belgium,civic & social organization
2002,united states,hospital & health care
2013,ukraine,program development
1995,united states,sports
1974,united states,professional training & coaching
1989,ireland,hospitality
2011,united states,"health, wellness and fitness"
2011,canada,computer software
1990,united states,entertainment
1996,united states,computer software
1994,turkey,computer software
2011,brazil,civic & social organization
2000,spain,alternative medicine
1979,united states,construction
2005,united states,legal services
2004,france,furniture
1994,united states,consumer goods
1976,germany,electrical/electronic manufacturing
1955,netherlands,building materials
2015,india,marketing and advertising
2006,china,international trade and development
2016,spain,marketing and advertising
1990,united kingdom,accounting
1985,united states,construction
2015,colombia,e-learning
2001,united states,marketing and advertising
2013,brazil,"health, wellness and fitness"
2015,russia,apparel & fashion
2014,brazil,staffing and recruiting
1996,canada,performing arts
1995,united states,higher education
2014,brazil,staffing and recruiting
1989,switzerland,construction
2004,turkey,chemicals
1943,uruguay,museums and institutions
1939,united kingdom,non-profit organization management
2014,united states,real estate
1969,belgium,computer networking
1963,united states,furniture
2003,united states,consumer services
1985,ireland,design
1977,united states,financial services
1997,paraguay,financial services
1984,brazil,security and investigations
2013,united states,transportation/trucking/railroad
1991,spain,accounting
2012,south africa,staffing and recruiting
2007,turkey,information technology and services
2013,united kingdom,retail
2012,italy,"health, wellness and fitness"
2003,netherlands,automotive
1991,canada,law practice
1986,united kingdom,environmental services
1977,canada,architecture & planning
2012,india,marketing and advertising
2010,sweden,education management
2015,netherlands,graphic design
2000,brazil,information technology and services
2013,united kingdom,law practice
2014,brazil,human resources
1996,tunisia,management consulting
2005,united states,medical practice
1963,united states,museums and institutions
2015,new zealand,renewables & environment
2007,france,information technology and services
2002,poland,pharmaceuticals
2007,united states,education management
2014,india,higher education
1997,united states,oil & energy
1985,united states,information technology and services
2012,poland,venture capital & private equity
2014,spain,management consulting
1980,united states,computer software
2001,cameroon,professional training & coaching
2015,united kingdom,hospital & health care
2010,united states,"health, wellness and fitness"
2008,mexico,staffing and recruiting
1980,italy,building materials
2012,mexico,broadcast media
2009,united states,facilities services
2013,united states,logistics and supply chain
1999,spain,furniture
1988,united states,oil & energy
2002,china,building materials
2010,united states,restaurants
2001,united states,pharmaceuticals
2008,united states,consumer services
1996,united states,real estate
2007,turkey,mechanical or industrial engineering
2017,united states,management consulting
2001,united states,apparel & fashion
1999,united kingdom,mechanical or industrial engineering
1967,united kingdom,mechanical or industrial engineering
1974,united states,information services
2007,united kingdom,media production
1997,united kingdom,non-profit organization management
2015,united kingdom,design
1983,united states,mechanical or industrial engineering
2011,united states,financial services
2014,united states,internet
2000,united states,events services
2012,brazil,financial services
1994,united states,law practice
2006,spain,retail
1998,united states,facilities services
2010,spain,transportation/trucking/railroad
2010,qatar,building materials
2011,united states,information technology and services
1994,united states,consumer services
2011,spain,marketing and advertising
1948,united states,medical devices
1998,united states,civic & social organization
2011,france,food & beverages
2007,united states,education management
1992,united states,public relations and communications
2014,brazil,entertainment
2011,united states,venture capital & private equity
2004,united states,hospitality
1983,united states,banking
2012,malaysia,internet
2010,romania,oil & energy
2008,peru,management consulting
1998,united states,consumer services
1986,united states,construction
2017,indonesia,automotive
1991,sweden,medical devices
1992,united states,performing arts
2006,sweden,telecommunications
2005,united states,accounting
2003,united states,computer software
1991,ukraine,medical practice
1949,united states,performing arts
2015,india,management consulting
2002,australia,media production
2011,united states,internet
2015,spain,entertainment
2015,france,apparel & fashion
1983,united states,medical practice
2004,united states,consumer services
1995,united states,logistics and supply chain
2001,united states,music
2008,brazil,retail
2014,united states,financial services
2011,france,human resources
2012,norway,information technology and services
1895,belgium,financial services
1999,united states,printing
2016,united kingdom,oil & energy
2005,united kingdom,events services
2007,united kingdom,construction
2009,australia,marketing and advertising
2004,brazil,wholesale
1998,netherlands,financial services
2013,greece,computer software
2006,united states,architecture & planning
1899,tanzania,farming
2006,iran,business supplies and equipment
1956,belgium,consumer services
1977,united states,hospital & health care
2013,france,mechanical or industrial engineering
1948,canada,insurance
2013,israel,marketing and advertising
2004,czechia,financial services
2007,hungary,computer software
2007,united kingdom,oil & energy
2001,india,oil & energy
1928,peru,food production
2016,united states,security and investigations
1993,india,marketing and advertising
2014,sweden,consumer services
2015,united states,education management
2007,netherlands,non-profit organization management
2015,serbia,non-profit organization management
2011,brazil,telecommunications
2017,united states,apparel & fashion
2001,united states,insurance
2015,netherlands,marketing and advertising
2009,india,marketing and advertising
2004,sweden,information technology and services
2004,united states,information technology and services
1988,united states,financial services
2006,new zealand,financial services
1998,france,media production
2013,united states,commercial real estate
2017,ukraine,information technology and services
2005,united states,hospitality
1950,united states,wholesale
2006,united states,non-profit organization management
2012,united kingdom,information technology and services
1949,united kingdom,construction
1983,united states,civil engineering
1977,united states,transportation/trucking/railroad
2008,turkey,marketing and advertising
1999,china,staffing and recruiting
1987,italy,machinery
2013,portugal,design
2008,united states,transportation/trucking/railroad
2001,united states,airlines/aviation
2002,united states,information technology and services
2004,sweden,hospital & health care
2005,united states,real estate
1968,united states,consumer goods
2010,india,staffing and recruiting
1996,italy,research
2014,united states,education management
2009,france,e-learning
1993,united kingdom,mechanical or industrial engineering
2015,india,information technology and services
2007,united states,management consulting
2000,united kingdom,information technology and services
1989,united states,management consulting
2005,netherlands,legal services
2010,australia,financial services
2014,united kingdom,financial services
2009,united kingdom,education management
2013,denmark,environmental services
1995,czechia,electrical/electronic manufacturing
2004,united states,food & beverages
1925,spain,management consulting
2006,italy,management consulting
2008,united states,marketing and advertising
1969,united states,consumer goods
2003,canada,farming
2011,united states,computer software
2002,australia,mechanical or industrial engineering
2011,azerbaijan,airlines/aviation
2015,united kingdom,marketing and advertising
2010,united states,hospital & health care
2015,india,capital markets
2000,netherlands,banking
2016,belgium,facilities services
2000,canada,design
2010,singapore,internet
2003,united kingdom,medical practice
2011,united kingdom,textiles
2002,united states,financial services
1995,italy,financial services
2005,netherlands,real estate
2012,united states,computer software
1993,canada,construction
1995,united kingdom,information technology and services
2013,brazil,information technology and services
2009,united states,furniture
1973,united states,program development
1995,china,building materials
2017,germany,venture capital & private equity
2006,united kingdom,performing arts
2016,india,consumer services
1986,united states,newspapers
2003,united states,apparel & fashion
1994,canada,education management
1999,united kingdom,information technology and services
1973,ireland,farming
1984,germany,maritime
1990,france,pharmaceuticals
2002,united states,music
1950,canada,insurance
2009,united states,marketing and advertising
2006,united states,marketing and advertising
1995,netherlands,environmental services
1995,macedonia,"leisure, travel & tourism"
1992,united states,architecture & planning
1994,china,industrial automation
1979,france,furniture
2006,south africa,human resources
2016,spain,computer software
2011,brazil,information technology and services
2011,south africa,telecommunications
1965,united states,construction
2011,canada,computer games
2015,india,management consulting
2007,united kingdom,legal services
2009,united states,dairy
2004,united states,hospital & health care
1998,malta,gambling & casinos
1996,monaco,telecommunications
1988,united states,accounting
2013,united states,publishing
2017,united states,"health, wellness and fitness"
2005,spain,internet
2013,united kingdom,venture capital & private equity
2012,israel,management consulting
2008,brazil,consumer electronics
1999,united kingdom,marketing and advertising
2010,united states,information technology and services
1998,spain,law practice
2005,united states,construction
2009,bulgaria,financial services
1999,united kingdom,wholesale
1968,ireland,environmental services
2005,united kingdom,information technology and services
1988,brazil,accounting
2000,india,information technology and services
2005,united kingdom,information technology and services
2009,india,information technology and services
2015,united states,real estate
1998,thailand,non-profit organization management
2008,united kingdom,education management
2006,australia,marketing and advertising
2008,france,professional training & coaching
2004,united states,information technology and services
1995,united states,music
2008,singapore,management consulting
1951,united states,law practice
1970,united kingdom,industrial automation
2000,south africa,information technology and services
2013,indonesia,publishing
2000,spain,food & beverages
1951,spain,electrical/electronic manufacturing
2002,portugal,marketing and advertising
1906,united states,banking
2016,brazil,marketing and advertising
1999,united kingdom,renewables & environment
2010,united states,computer software
2017,france,publishing
1911,canada,sports
2011,portugal,marketing and advertising
1986,united states,"health, wellness and fitness"
1989,sweden,architecture & planning
2005,united states,architecture & planning
2015,canada,apparel & fashion
2014,united states,veterinary
2000,united kingdom,construction
2005,chile,information technology and services
1991,united states,medical practice
2008,france,financial services
2001,denmark,"leisure, travel & tourism"
2006,india,computer software
2008,united states,think tanks
1982,united states,computer hardware
1991,united states,mechanical or industrial engineering
2012,germany,cosmetics
2015,mexico,information technology and services
2005,united states,accounting
2012,united states,security and investigations
1976,switzerland,architecture & planning
1998,united states,consumer goods
2000,united kingdom,mechanical or industrial engineering
2000,united states,internet
1990,united states,"health, wellness and fitness"
2004,united kingdom,sports
1986,united states,accounting
2004,netherlands,wholesale
2001,canada,investment management
2008,netherlands,transportation/trucking/railroad
2014,italy,restaurants
2011,argentina,industrial automation
2010,new zealand,computer software
2003,united states,real estate
2003,mexico,marketing and advertising
1989,spain,machinery
1997,united states,renewables & environment
2014,australia,computer software
1989,united states,information technology and services
2006,germany,maritime
1989,united states,financial services
2007,united states,construction
1986,united states,veterinary
2010,egypt,marketing and advertising
1924,united states,hospitality
2007,united states,professional training & coaching
1944,finland,civic & social organization
2010,united states,marketing and advertising
2001,united states,information technology and services
2016,united states,real estate
1998,united kingdom,information technology and services
1972,ireland,computer software
1982,cyprus,marketing and advertising
2007,united states,internet
2014,india,media production
1990,slovakia,chemicals
2008,united states,law practice
2012,canada,media production
2009,turkey,hospitality
1963,united states,transportation/trucking/railroad
2003,united states,construction
2009,canada,medical devices
2003,italy,hospitality
2011,united kingdom,venture capital & private equity
2013,spain,program development
2004,united kingdom,architecture & planning
2004,united states,broadcast media
2018,united states,investment management
2004,australia,information technology and services
1922,united states,hospitality
2016,iraq,internet
1997,united states,information technology and services
1985,united kingdom,automotive
1906,united states,business supplies and equipment
1988,switzerland,real estate
2008,romania,construction
1987,france,computer software
2001,brazil,information services
1998,united states,information technology and services
2008,netherlands,computer networking
2005,italy,newspapers
2009,united states,transportation/trucking/railroad
1977,colombia,civil engineering
1992,united states,financial services
1996,india,education management
2008,argentina,international trade and development
1981,united states,"health, wellness and fitness"
1996,united states,marketing and advertising
2005,united kingdom,hospital & health care
1997,vietnam,mining & metals
1985,liechtenstein,financial services
2002,united states,cosmetics
1985,united states,e-learning
2014,india,legal services
2007,united states,non-profit organization management
1996,latvia,electrical/electronic manufacturing
1988,united states,sports
2009,united states,law practice
2010,united kingdom,food & beverages
2009,poland,information technology and services
1986,turkey,automotive
1983,turkey,electrical/electronic manufacturing
2004,france,professional training & coaching
1940,united states,construction
2016,united kingdom,renewables & environment
1997,united states,building materials
2008,costa rica,online media
1983,united states,professional training & coaching
2013,italy,"leisure, travel & tourism"
1995,turkey,"glass, ceramics & concrete"
2002,united states,consumer services
2011,united states,"glass, ceramics & concrete"
2010,netherlands,food & beverages
1994,united states,financial services
2010,united kingdom,commercial real estate
2012,france,computer software
2006,australia,information technology and services
2012,united states,legal services
2011,united states,law practice
2010,india,information technology and services
1979,united states,building materials
1999,netherlands,design
2012,haiti,information technology and services
2018,united states,hospitality
1970,united states,information technology and services
2016,canada,information technology and services
2006,india,events services
2011,united states,hospital & health care
2012,nepal,internet
2017,italy,retail
2014,brazil,information technology and services
1966,united kingdom,construction
2011,poland,architecture & planning
2005,united states,"health, wellness and fitness"
1984,united kingdom,real estate
2010,netherlands,electrical/electronic manufacturing
2011,united arab emirates,information technology and services
1990,united states,"leisure, travel & tourism"
1932,united states,hospitality
2016,israel,automotive
2015,united kingdom,information technology and services
2014,lebanon,telecommunications
1980,united kingdom,computer software
2010,united states,"health, wellness and fitness"
1981,united states,staffing and recruiting
2017,united kingdom,financial services
1955,united states,electrical/electronic manufacturing
2010,canada,oil & energy
2000,united states,semiconductors
2003,united kingdom,information technology and services
2011,pakistan,machinery
1997,united states,marketing and advertising
2006,united states,management consulting
1997,italy,research
2004,canada,performing arts
2007,sweden,mechanical or industrial engineering
1963,italy,"leisure, travel & tourism"
2014,united states,accounting
2002,united kingdom,information technology and services
2000,india,"health, wellness and fitness"
2011,romania,veterinary
2009,jamaica,business supplies and equipment
2013,sweden,design
2016,brazil,internet
1995,united states,law practice
2013,united states,marketing and advertising
2009,united states,performing arts
1996,turkey,design
1917,united states,non-profit organization management
2002,united states,investment management
2013,united states,hospital & health care
1985,spain,sports
1993,iraq,higher education
2000,venezuela,information technology and services
1925,canada,sports
2013,france,sports
1872,germany,mechanical or industrial engineering
1983,united states,commercial real estate
1988,united states,construction
2018,united states,staffing and recruiting
2013,united arab emirates,transportation/trucking/railroad
2001,panama,sports
2012,france,information technology and services
1978,united states,textiles
2009,brazil,facilities services
2013,singapore,events services
2004,canada,financial services
1993,united states,insurance
2005,united states,"health, wellness and fitness"
2010,dominican republic,hospitality
1951,united states,food production
2006,united states,information technology and services
2013,philippines,management consulting
1914,united states,executive office
2006,france,information technology and services
2004,united states,online media
1985,canada,wireless
1997,united kingdom,professional training & coaching
2011,georgia,"leisure, travel & tourism"
2011,china,management consulting
2013,united states,research
1992,curaçao,information technology and services
1974,united states,publishing
2013,poland,food & beverages
2003,italy,higher education
1999,united states,pharmaceuticals
2013,united states,computer software
1957,united states,facilities services
2015,united states,information technology and services
2016,united states,renewables & environment
2007,slovenia,information technology and services
1998,mexico,farming
2002,united kingdom,venture capital & private equity
2006,france,events services
1991,poland,environmental services
2006,united states,legal services
1996,united states,machinery
2006,mexico,marketing and advertising
1979,colombia,business supplies and equipment
1977,united states,real estate
2005,netherlands,sports
2010,china,law practice
1952,canada,chemicals
2007,sweden,investment management
1893,ireland,sports
2001,united states,venture capital & private equity
2014,united arab emirates,logistics and supply chain
1968,united states,education management
2006,spain,e-learning
2006,brazil,renewables & environment
2014,united states,computer software
2017,united states,internet
2015,united states,computer software
2014,indonesia,internet
1898,netherlands,farming
2001,united states,consumer services
1999,united states,religious institutions
1982,united states,hospital & health care
1948,australia,mechanical or industrial engineering
2015,greece,internet
2009,sweden,information technology and services
2010,united states,publishing
