Year_founded,Country_Only,Industry
2012,united states,information technology and services
2013,netherlands,arts and crafts
2009,united states,hospital & health care
2001,united states,construction
2016,brazil,judiciary
2007,united states,photography
1981,canada,recreational facilities and services
2016,india,apparel & fashion
1970,united states,transportation/trucking/railroad
1930,united states,food & beverages
2013,lebanon,photography
2014,spain,utilities
1992,canada,architecture & planning
2005,united states,construction
2005,jordan,media production
2017,united states,"health, wellness and fitness"
2004,spain,design
2015,united states,medical devices
2011,mexico,capital markets
2011,spain,accounting
2016,finland,media production
2016,united states,design
2014,bulgaria,sports
2015,united states,information technology and services
2008,netherlands,information technology and services
2010,united states,internet
2011,united states,machinery
2010,south africa,marketing and advertising
2011,germany,electrical/electronic manufacturing
2012,guadeloupe,telecommunications
2002,united states,accounting
1998,spain,information technology and services
1988,new zealand,management consulting
1985,italy,construction
2012,netherlands,staffing and recruiting
2016,united states,information technology and services
2015,united states,public relations and communications
2012,new zealand,professional training & coaching
2012,united states,marketing and advertising
2009,egypt,airlines/aviation
2015,france,newspapers
2016,united states,marketing and advertising
2014,united states,real estate
2010,singapore,marketing and advertising
2015,united states,apparel & fashion
2006,united states,professional training & coaching
1988,netherlands,retail
2013,india,staffing and recruiting
2013,italy,civic & social organization
2012,switzerland,real estate
2010,romania,motion pictures and film
2010,united states,non-profit organization management
2008,united states,construction
2011,south africa,information technology and services
1989,spain,import and export
2013,france,management consulting
2004,united states,computer software
2014,united states,retail
1991,united states,architecture & planning
2008,brazil,information technology and services
2008,united states,professional training & coaching
2013,united states,"health, wellness and fitness"
2011,brazil,civil engineering
2012,serbia,events services
2009,australia,financial services
1989,india,chemicals
2014,brazil,construction
2008,spain,broadcast media
2015,united states,food & beverages
2014,united states,retail
2015,norway,venture capital & private equity
2008,netherlands,staffing and recruiting
2009,brazil,security and investigations
1993,argentina,food & beverages
2012,united states,accounting
2015,brazil,broadcast media
2016,united states,entertainment
1997,brazil,computer software
1962,france,mining & metals
2011,united states,internet
2005,india,machinery
2012,brazil,information technology and services
2010,france,broadcast media
1980,united states,real estate
2015,united states,non-profit organization management
2003,qatar,machinery
2007,united states,non-profit organization management
2012,united states,industrial automation
2013,united states,information technology and services
2006,united states,telecommunications
2015,united states,consumer services
2000,australia,printing
1962,united states,construction
2006,brazil,information technology and services
2016,united kingdom,staffing and recruiting
2008,spain,marketing and advertising
1995,united kingdom,information technology and services
2014,united states,consumer services
2012,china,fine art
2008,united kingdom,printing
2014,united states,apparel & fashion
1985,hong kong,banking
1993,united states,marketing and advertising
2005,canada,retail
