Year_founded,Country_Only,Industry
1985,nepal,textiles
1991,germany,renewables & environment
1990,united states,retail
2009,netherlands,professional training & coaching
2010,singapore,pharmaceuticals
2015,united kingdom,financial services
2012,united states,internet
2013,spain,food & beverages
1998,united states,architecture & planning
2005,united states,management consulting
2005,australia,real estate
2005,chile,mechanical or industrial engineering
2009,argentina,food & beverages
2000,estonia,transportation/trucking/railroad
1996,united states,financial services
2013,united kingdom,venture capital & private equity
1981,united states,apparel & fashion
1837,united states,information services
2016,india,executive office
2016,poland,computer games
2009,france,marketing and advertising
2012,united states,food & beverages
2012,cyprus,internet
1975,jamaica,defense & space
2008,france,design
2008,spain,management consulting
2014,united states,entertainment
2016,belgium,internet
2006,united states,financial services
2016,united states,information technology and services
1974,macedonia,performing arts
2006,india,"health, wellness and fitness"
2010,italy,broadcast media
2018,united kingdom,design
2010,china,marketing and advertising
1999,philippines,libraries
2018,united states,media production
1993,brazil,human resources
1974,united kingdom,"leisure, travel & tourism"
2013,norway,internet
2015,germany,entertainment
2014,united states,computer & network security
2017,united states,entertainment
2014,italy,music
1977,italy,machinery
1992,turkey,plastics
2009,united states,media production
2010,united kingdom,construction
1985,united states,environmental services
2011,hong kong,medical devices
2005,spain,real estate
2010,united states,marketing and advertising
2006,russia,internet
2010,united states,textiles
2008,united states,design
2011,argentina,wholesale
2015,united states,marketing and advertising
2017,united kingdom,marketing and advertising
1990,united states,insurance
2015,united states,utilities
2009,czechia,apparel & fashion
1832,france,luxury goods & jewelry
2014,united kingdom,telecommunications
2017,india,information technology and services
1977,india,education management
2000,united states,information technology and services
1993,canada,sports
2006,russia,internet
2015,turkey,human resources
2017,singapore,events services
2016,india,consumer services
2016,china,computer games
2011,algeria,financial services
2005,united states,consumer goods
2008,united states,industrial automation
2016,peru,marketing and advertising
2005,malaysia,security and investigations
2016,canada,primary/secondary education
1989,canada,computer software
2016,united kingdom,public relations and communications
2010,united states,construction
2012,belgium,graphic design
2009,iran,pharmaceuticals
2017,united kingdom,utilities
2013,brazil,consumer goods
1996,united states,retail
2006,peru,telecommunications
2009,united states,graphic design
2017,netherlands,"health, wellness and fitness"
2014,united states,environmental services
2005,united states,textiles
1991,united states,electrical/electronic manufacturing
2016,netherlands,media production
