Year_founded,Country_Only,Industry
2013,united states,information technology and services
2010,united states,apparel & fashion
2013,united states,accounting
1994,united states,information technology and services
1993,germany,management consulting
2001,united states,information technology and services
2015,belgium,wine and spirits
2014,philippines,marketing and advertising
2004,norway,telecommunications
2013,united states,marketing and advertising
2010,united states,publishing
1999,canada,legal services
2016,united states,marketing and advertising
2010,united states,staffing and recruiting
1990,brazil,machinery
2016,france,marketing and advertising
2012,argentina,farming
2014,united states,marketing and advertising
2007,united kingdom,hospital & health care
1997,denmark,design
2014,indonesia,"leisure, travel & tourism"
2007,canada,"health, wellness and fitness"
2007,united states,staffing and recruiting
2012,united kingdom,telecommunications
2017,united states,management consulting
2010,united states,motion pictures and film
2006,brazil,accounting
2004,lithuania,civil engineering
2003,united kingdom,design
2017,canada,retail
2001,united kingdom,management consulting
2016,united states,entertainment
2004,united states,non-profit organization management
2015,united kingdom,publishing
1975,united kingdom,logistics and supply chain
2015,united states,investment management
2013,india,information technology and services
2011,spain,food & beverages
1990,united states,information services
2010,netherlands,retail
2015,iran,arts and crafts
2013,canada,computer software
2016,united states,computer networking
1960,united states,insurance
2012,india,information technology and services
2000,united states,legal services
1992,germany,construction
2009,brazil,architecture & planning
2015,argentina,consumer goods
2013,spain,information technology and services
2009,united states,staffing and recruiting
2010,norway,computer software
2012,united states,arts and crafts
1975,italy,think tanks
2013,france,public policy
2015,chile,chemicals
2013,united kingdom,design
2013,spain,internet
2014,switzerland,"health, wellness and fitness"
2012,united states,construction
2012,united states,food & beverages
2007,spain,design
2009,united states,medical devices
2010,canada,media production
2016,australia,financial services
2012,germany,marketing and advertising
1990,canada,computer & network security
2017,united states,financial services
2016,peru,photography
2010,united states,marketing and advertising
2012,united kingdom,marketing and advertising
2016,china,security and investigations
2013,united states,motion pictures and film
2015,united states,executive office
1999,portugal,information technology and services
2012,germany,management consulting
2014,switzerland,"health, wellness and fitness"
2014,united states,internet
1960,lebanon,automotive
2001,united states,financial services
2007,united states,oil & energy
1995,united kingdom,renewables & environment
1973,united states,civic & social organization
2009,united states,marketing and advertising
2014,france,"leisure, travel & tourism"
2017,united states,design
1997,germany,information technology and services
2016,germany,information technology and services
1935,united states,construction
2018,united states,professional training & coaching
2007,united states,religious institutions
2016,spain,law practice
2007,united kingdom,financial services
1993,france,professional training & coaching
2016,sweden,construction
2018,united states,entertainment
2005,united states,"health, wellness and fitness"
2016,puerto rico,pharmaceuticals
2017,italy,oil & energy
1983,germany,machinery
2011,india,financial services
2017,united states,design
2007,united states,marketing and advertising
2012,canada,business supplies and equipment
2008,united states,"health, wellness and fitness"
2017,united kingdom,hospitality
2005,denmark,real estate
2016,united states,retail
2009,australia,publishing
2006,united states,import and export
2012,united kingdom,telecommunications
2010,united states,real estate
2003,australia,transportation/trucking/railroad
2014,united states,motion pictures and film
1999,united states,law practice
1996,slovenia,sports
2008,united kingdom,government administration
2015,united states,marketing and advertising
2011,united states,information services
2016,switzerland,oil & energy
2000,brazil,printing
2014,united states,public relations and communications
2012,united states,financial services
2016,ukraine,investment management
2005,canada,"health, wellness and fitness"
1953,portugal,graphic design
2001,italy,information technology and services
2017,turkey,marketing and advertising
2008,philippines,marketing and advertising
2016,mexico,security and investigations
1995,new zealand,consumer services
2005,united states,"health, wellness and fitness"
2005,united states,construction
2004,united states,management consulting
2012,united states,e-learning
2015,united states,marketing and advertising
2007,canada,marketing and advertising
1986,greece,maritime
2015,chile,marketing and advertising
2017,united states,computer software
2010,south africa,design
2009,israel,broadcast media
1991,united states,oil & energy
2009,greece,management consulting
2018,united states,financial services
2013,india,media production
2018,united states,"leisure, travel & tourism"
2016,netherlands,design
2013,greece,food & beverages
2015,malaysia,civic & social organization
2017,united states,management consulting
2017,united states,fund-raising
2009,saudi arabia,logistics and supply chain
1999,united states,marketing and advertising
2017,united kingdom,human resources
1994,portugal,environmental services
2011,italy,motion pictures and film
2006,italy,accounting
2003,united states,marketing and advertising
2005,united kingdom,professional training & coaching
1997,belgium,environmental services
2000,switzerland,food & beverages
2013,south africa,design
2014,india,consumer electronics
2016,united states,food & beverages
2005,china,mechanical or industrial engineering
1970,united states,hospital & health care
2013,united states,architecture & planning
2015,australia,medical practice
1994,united kingdom,arts and crafts
2015,united states,entertainment
2010,brazil,automotive
2012,united states,management consulting
1994,australia,non-profit organization management
2012,united kingdom,business supplies and equipment
2012,united states,transportation/trucking/railroad
1969,united states,construction
2010,netherlands,automotive
2012,united states,renewables & environment
2016,serbia,management consulting
1947,united states,"health, wellness and fitness"
2013,france,business supplies and equipment
2011,united states,real estate
2017,united arab emirates,education management
2013,united kingdom,transportation/trucking/railroad
2015,greece,food & beverages
2017,chile,"leisure, travel & tourism"
1993,canada,graphic design
1987,united states,construction
2016,united kingdom,environmental services
2015,india,fund-raising
2016,united states,logistics and supply chain
2008,india,information technology and services
2011,brazil,internet
2014,france,consumer services
2008,united states,program development
2008,canada,photography
1942,united states,public safety
2000,brazil,design
2016,germany,marketing and advertising
1993,new zealand,"health, wellness and fitness"
2011,united states,internet
2009,united states,farming
2000,canada,entertainment
2014,united states,consumer services
2010,netherlands,construction
1997,united states,information technology and services
2011,pakistan,outsourcing/offshoring
2011,hong kong,furniture
2003,united states,design
2017,united states,individual & family services
2017,canada,legal services
2002,bulgaria,computer networking
2007,brazil,information technology and services
2004,united states,information technology and services
1996,egypt,real estate
1998,united states,computer & network security
1999,united states,apparel & fashion
1976,united states,non-profit organization management
1992,united states,construction
2012,united states,information technology and services
2016,peru,marketing and advertising
2017,canada,environmental services
2016,united states,import and export
2002,israel,apparel & fashion
1991,netherlands,marketing and advertising
2010,spain,marketing and advertising
2013,spain,marketing and advertising
2016,united states,financial services
2012,italy,information technology and services
2014,united states,outsourcing/offshoring
2017,united states,hospitality
2007,france,staffing and recruiting
2016,united states,individual & family services
2017,netherlands,market research
2011,united states,music
2002,united states,cosmetics
2016,united states,education management
2016,united states,security and investigations
2010,united states,apparel & fashion
2009,united states,automotive
2009,poland,food production
2006,canada,logistics and supply chain
2013,spain,primary/secondary education
2017,united states,real estate
2014,denmark,architecture & planning
1985,netherlands,hospitality
2015,fiji,staffing and recruiting
2017,new zealand,marketing and advertising
2007,united kingdom,online media
2008,united states,electrical/electronic manufacturing
2017,united states,civil engineering
2013,canada,mining & metals
2015,nigeria,information technology and services
2016,united kingdom,marketing and advertising
1995,croatia,real estate
2013,australia,"health, wellness and fitness"
2015,netherlands,research
2014,netherlands,human resources
2009,united states,information technology and services
2000,united states,management consulting
2016,czechia,mechanical or industrial engineering
2007,united states,design
