Year_founded,Country_Only,Industry
2009,democratic republic of the congo,information technology and services
2011,united states,restaurants
2009,united states,mental health care
1970,canada,automotive
2008,united states,transportation/trucking/railroad
1998,united kingdom,consumer services
2016,india,hospital & health care
2000,italy,semiconductors
2000,united states,defense & space
2015,belgium,translation and localization
2013,spain,apparel & fashion
2016,canada,capital markets
2012,italy,management consulting
2012,japan,design
2017,united states,internet
1990,new zealand,public relations and communications
2014,united states,photography
1994,spain,management consulting
1996,canada,retail
2012,united states,accounting
1982,united states,real estate
1991,france,telecommunications
2016,ireland,wine and spirits
1998,norway,oil & energy
2010,united states,consumer services
2003,united states,fine art
2010,india,computer software
2005,denmark,electrical/electronic manufacturing
2013,denmark,furniture
1997,germany,renewables & environment
1998,united kingdom,wireless
1920,australia,public safety
1967,brazil,wholesale
2018,united states,information technology and services
1998,argentina,broadcast media
2012,united states,primary/secondary education
2014,australia,staffing and recruiting
2014,hungary,financial services
2013,united states,financial services
1999,united states,automotive
2010,malaysia,staffing and recruiting
2009,united kingdom,computer software
2015,united kingdom,restaurants
2016,france,food & beverages
2014,portugal,design
2014,germany,information technology and services
2010,united states,computer & network security
2011,new zealand,staffing and recruiting
2008,united states,events services
2016,united states,media production
2013,pakistan,computer software
2014,philippines,"leisure, travel & tourism"
1989,france,capital markets
2009,united kingdom,management consulting
2007,united states,staffing and recruiting
2016,united states,marketing and advertising
2005,canada,marketing and advertising
1934,united states,restaurants
1985,united states,hospital & health care
2008,united states,hospitality
2013,united states,computer software
1999,united kingdom,construction
2004,united states,"health, wellness and fitness"
2014,united states,financial services
2005,united states,financial services
2013,united kingdom,design
2017,italy,information technology and services
2017,canada,information technology and services
2011,united states,entertainment
2014,canada,non-profit organization management
2015,india,marketing and advertising
2010,united kingdom,architecture & planning
2007,india,packaging and containers
1996,france,construction
2009,bulgaria,logistics and supply chain
2014,united kingdom,environmental services
2010,united states,marketing and advertising
2010,norway,marketing and advertising
2008,united states,environmental services
1986,canada,environmental services
1977,turkey,retail
1998,united states,building materials
2005,united states,architecture & planning
2010,greece,internet
2010,spain,printing
2006,poland,"leisure, travel & tourism"
1991,united states,business supplies and equipment
2016,brazil,marketing and advertising
2010,united states,printing
1968,united states,real estate
2012,netherlands,information technology and services
1991,canada,renewables & environment
1905,united kingdom,automotive
2000,united kingdom,internet
2015,united kingdom,oil & energy
2012,mexico,internet
1997,united kingdom,government relations
2007,united states,recreational facilities and services
1988,united states,automotive
1988,belgium,graphic design
2013,greece,marketing and advertising
1992,united states,law practice
2009,united states,financial services
2005,canada,restaurants
2007,canada,financial services
1990,united states,construction
2015,united states,civic & social organization
2013,united states,entertainment
2012,brazil,professional training & coaching
1972,australia,chemicals
1980,united states,professional training & coaching
1971,united states,architecture & planning
2008,australia,events services
2000,spain,international affairs
1954,canada,insurance
1993,united kingdom,airlines/aviation
2008,malaysia,motion pictures and film
2009,united kingdom,"health, wellness and fitness"
1999,united states,insurance
1988,austria,architecture & planning
2013,united states,consumer services
2017,united states,design
2012,united states,real estate
1962,qatar,real estate
2007,kenya,law practice
2011,france,management consulting
2008,united states,commercial real estate
2007,united states,information technology and services
1988,united states,automotive
2002,canada,telecommunications
1980,united states,public policy
2014,egypt,legal services
2015,lithuania,information technology and services
2013,sweden,information technology and services
2015,united states,sports
2007,united states,online media
1980,united kingdom,automotive
2005,slovakia,marketing and advertising
1998,spain,telecommunications
1982,colombia,plastics
2014,spain,legal services
1989,united kingdom,financial services
2004,italy,legal services
1987,united kingdom,wholesale
2009,united states,venture capital & private equity
2003,united states,construction
2016,united kingdom,e-learning
2017,united kingdom,logistics and supply chain
2012,united states,program development
1983,united states,wholesale
2015,united states,business supplies and equipment
2013,united states,staffing and recruiting
1956,italy,chemicals
2016,united states,marketing and advertising
1982,spain,environmental services
2005,france,apparel & fashion
1986,india,consumer goods
2010,mexico,wireless
2011,united states,marketing and advertising
2001,united states,computer software
2006,australia,design
2011,vietnam,education management
2006,canada,building materials
1985,united states,insurance
2009,united states,religious institutions
2013,france,computer software
2008,india,computer & network security
2005,united states,financial services
2017,united kingdom,medical devices
2008,netherlands,information technology and services
1994,united states,financial services
1996,brazil,law practice
2014,netherlands,computer software
2017,united states,human resources
2015,iran,information technology and services
2011,united states,construction
2017,india,management consulting
2012,united kingdom,hospital & health care
2004,netherlands,sports
2010,canada,research
1946,united states,recreational facilities and services
1983,italy,publishing
2012,bolivia,information technology and services
2012,russia,computer software
1980,australia,civil engineering
1973,united states,mental health care
2009,united states,semiconductors
1997,united states,telecommunications
2009,united states,marketing and advertising
2013,united states,industrial automation
2001,south africa,construction
1998,netherlands,insurance
1987,france,insurance
2006,poland,design
2011,india,veterinary
2005,china,renewables & environment
2015,united states,consumer goods
2011,italy,international trade and development
1881,canada,non-profit organization management
2013,netherlands,real estate
1998,united states,outsourcing/offshoring
2008,united states,pharmaceuticals
2016,albania,sports
1981,united arab emirates,investment management
2001,italy,medical devices
2006,canada,media production
2013,united states,"health, wellness and fitness"
2005,united states,renewables & environment
2003,united states,staffing and recruiting
2011,egypt,consumer goods
2010,united states,accounting
2002,united kingdom,entertainment
1997,mexico,telecommunications
