Year_founded,Country_Only,Industry
1920,south africa,marketing and advertising
2008,united states,"health, wellness and fitness"
2012,united states,computer & network security
1988,india,computer software
2011,united states,renewables & environment
1989,united kingdom,medical devices
2011,united states,financial services
1909,united states,law practice
1988,united states,investment management
1949,united states,plastics
1950,united states,transportation/trucking/railroad
2008,australia,human resources
2014,italy,law practice
2003,canada,marketing and advertising
1995,united states,information technology and services
2015,kazakhstan,restaurants
1915,united states,printing
2011,brazil,cosmetics
2014,philippines,online media
1995,germany,industrial automation
2013,united states,financial services
2004,brazil,public relations and communications
2010,norway,furniture
1978,pakistan,hospital & health care
2007,ireland,computer software
2007,china,market research
2003,united states,information technology and services
1987,united states,hospitality
1965,zimbabwe,architecture & planning
1987,united states,facilities services
2012,united kingdom,events services
2001,united states,telecommunications
1996,netherlands,internet
1840,italy,banking
2003,united states,insurance
2005,united states,music
1925,united states,hospital & health care
1917,united states,automotive
1948,united kingdom,automotive
1994,norway,information technology and services
2015,united states,consumer goods
2017,united states,food production
1982,turkey,medical devices
2010,united states,mental health care
2011,united states,renewables & environment
1982,united states,information technology and services
2000,united states,real estate
1996,turkey,management consulting
2012,india,business supplies and equipment
2016,united states,information technology and services
1967,sweden,government administration
1985,netherlands,logistics and supply chain
2011,india,international trade and development
2008,india,information technology and services
1892,united states,newspapers
2013,united kingdom,education management
1995,belgium,government administration
2013,united states,architecture & planning
2005,turkey,machinery
2001,united kingdom,information technology and services
2013,italy,design
2017,united kingdom,graphic design
2005,iraq,telecommunications
1987,canada,renewables & environment
1996,bangladesh,education management
2016,portugal,photography
2014,united states,apparel & fashion
1960,belgium,banking
1992,united states,information technology and services
1930,italy,accounting
1985,denmark,mechanical or industrial engineering
1967,turkey,investment management
1975,united states,mental health care
1937,united states,hospital & health care
1965,sweden,industrial automation
2013,italy,staffing and recruiting
2014,france,staffing and recruiting
2003,united states,telecommunications
2007,australia,automotive
2010,united states,retail
1968,denmark,mechanical or industrial engineering
2011,united states,law practice
2014,portugal,information technology and services
2013,united states,legal services
1930,united states,insurance
2006,united kingdom,non-profit organization management
1965,united states,industrial automation
2003,pakistan,information technology and services
1997,australia,accounting
2006,france,information technology and services
2006,portugal,marketing and advertising
2003,bulgaria,computer software
1999,romania,telecommunications
2014,united kingdom,"health, wellness and fitness"
1986,france,computer software
2010,denmark,machinery
1972,united states,medical practice
2016,turkey,management consulting
1993,hong kong,retail
2017,croatia,information technology and services
2001,italy,photography
1989,united kingdom,management consulting
2004,ireland,telecommunications
1986,united states,financial services
2013,france,media production
2012,united states,online media
2006,united states,aviation & aerospace
1993,norway,information technology and services
1969,united kingdom,accounting
2011,united kingdom,media production
2013,china,hospitality
2006,united kingdom,education management
2009,united states,construction
1996,united states,staffing and recruiting
2015,united states,financial services
2003,united states,"health, wellness and fitness"
1987,united states,higher education
2005,united states,defense & space
1972,italy,civil engineering
1976,united states,construction
2006,united states,consumer goods
1988,russia,higher education
2016,netherlands,"health, wellness and fitness"
2012,canada,publishing
2009,canada,marketing and advertising
1986,united states,accounting
1994,netherlands,management consulting
2002,switzerland,entertainment
