latitude,longitude,company,coordinate,inception,industry,id,id_industry,id_country,country
52.2474,0.709522,The Rising Sun Public House,Point(0.709522 52.2474),,,http://www.wikidata.org/entity/Q17545564,,http://www.wikidata.org/entity/Q145,
51.959,0.992167,The Sun Public House,Point(0.992167 51.959),,,http://www.wikidata.org/entity/Q17545654,,http://www.wikidata.org/entity/Q145,
51.1859,0.145531,The Castle Inn,Point(0.145531 51.1859),,,http://www.wikidata.org/entity/Q17545679,,http://www.wikidata.org/entity/Q145,
53.1087,-1.56066,Greyhound Hotel,Point(-1.56066 53.1087),,,http://www.wikidata.org/entity/Q17545856,,http://www.wikidata.org/entity/Q145,
51.0688,-1.79643,The Haunch Of Venison,Point(-1.79643 51.0688),,,http://www.wikidata.org/entity/Q17545912,,http://www.wikidata.org/entity/Q145,
53.0171,-1.73275,"The Green Man And Black's Head Hotel, Attached Inn Sign Bridging Road",Point(-1.73275 53.0171),,,http://www.wikidata.org/entity/Q17545947,,http://www.wikidata.org/entity/Q145,
51.0671,-1.79351,The Bell and Crown,Point(-1.79351 51.0671),,,http://www.wikidata.org/entity/Q17546364,,http://www.wikidata.org/entity/Q145,
51.07214,-1.79637,George and Dragon,Point(-1.79637 51.07214),1400-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q17546413,,http://www.wikidata.org/entity/Q145,
51.0722,-1.79639,George and Dragon,Point(-1.79639 51.0722),1400-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q17546413,,http://www.wikidata.org/entity/Q145,
51.1963,0.27508,Ye Olde Chequers Inn,Point(0.27508 51.1963),,,http://www.wikidata.org/entity/Q17546750,,http://www.wikidata.org/entity/Q145,
55.5566,-1.63816,The Craster Arms,Point(-1.63816 55.5566),,,http://www.wikidata.org/entity/Q17546810,,http://www.wikidata.org/entity/Q145,
51.3037,0.479137,The Chequers Public House,Point(0.479137 51.3037),,,http://www.wikidata.org/entity/Q17546876,,http://www.wikidata.org/entity/Q145,
54.9066,-1.40336,Mountain Daisy Public House,Point(-1.40336 54.9066),,,http://www.wikidata.org/entity/Q17547129,,http://www.wikidata.org/entity/Q145,
55.7717,-2.00799,Red Lion Public House,Point(-2.00799 55.7717),,,http://www.wikidata.org/entity/Q17547208,,http://www.wikidata.org/entity/Q145,
53.3012,-1.12492,The Old Ship Inn,Point(-1.12492 53.3012),,,http://www.wikidata.org/entity/Q17547274,,http://www.wikidata.org/entity/Q145,
51.4099,-0.83372,Red Lion Public House,Point(-0.83372 51.4099),,,http://www.wikidata.org/entity/Q17547300,,http://www.wikidata.org/entity/Q145,
51.2356,-0.573834,The Angel Hotel,Point(-0.573834 51.2356),,,http://www.wikidata.org/entity/Q17547368,,http://www.wikidata.org/entity/Q145,
51.3013,-0.489303,The Talbot,Point(-0.489303 51.3013),,,http://www.wikidata.org/entity/Q17547388,,http://www.wikidata.org/entity/Q145,
50.8357,-2.98151,The George Public House Including Outbuilding Adjoining North East,Point(-2.98151 50.8357),,,http://www.wikidata.org/entity/Q17547414,,http://www.wikidata.org/entity/Q145,
52.3332,-2.06234,Golden Lion Public House,Point(-2.06234 52.3332),,,http://www.wikidata.org/entity/Q17547517,,http://www.wikidata.org/entity/Q145,
50.7094,-3.54658,Cowick Barton,Point(-3.54658 50.7094),,,http://www.wikidata.org/entity/Q17547587,,http://www.wikidata.org/entity/Q145,
