ID,latitude,longitude,company,coordinate,inception,industry,URL,id_industry,id_country,country,company_foundation,text
49623044,36.878773,-76.301674,37th and Zen,Point(-76.301672 36.878771),,,http://www.wikidata.org/entity/Q49623044,,http://www.wikidata.org/entity/Q30,United States of America,,COMPANY: 37th and Zen<br>COUNTRY: United States of America<br>FOUNDATION: nan
49712582,36.791615,-76.2639,Eagles' Nest Rockin' Bar,Point(-76.2639032 36.791613),,,http://www.wikidata.org/entity/Q49712582,,http://www.wikidata.org/entity/Q30,United States of America,,COMPANY: Eagles' Nest Rockin' Bar<br>COUNTRY: United States of America<br>FOUNDATION: nan
50131163,52.237022,20.989695,Czerwony Wieprz,Point(20.989694444 52.237022222),,,http://www.wikidata.org/entity/Q50131163,,http://www.wikidata.org/entity/Q36,Poland,,COMPANY: Czerwony Wieprz<br>COUNTRY: Poland<br>FOUNDATION: nan
50276335,60.1681,24.9473,Q50276335,Point(24.9473 60.1681),,,http://www.wikidata.org/entity/Q50276335,,http://www.wikidata.org/entity/Q33,Finland,,COMPANY: Q50276335<br>COUNTRY: Finland<br>FOUNDATION: nan
50321270,43.74816,7.439065,Blue Bay,Point(7.439065 43.748162),,,http://www.wikidata.org/entity/Q50321270,,http://www.wikidata.org/entity/Q235,Monaco,,COMPANY: Blue Bay<br>COUNTRY: Monaco<br>FOUNDATION: nan
50376555,45.873123,4.911612,Restaurant La Table des Dombes,Point(4.911612 45.873122),,,http://www.wikidata.org/entity/Q50376555,,http://www.wikidata.org/entity/Q142,France,,COMPANY: Restaurant La Table des Dombes<br>COUNTRY: France<br>FOUNDATION: nan
50376571,45.87256,4.912143,Restaurant Marguin,Point(4.912143 45.872559),1906-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q50376571,,http://www.wikidata.org/entity/Q142,France,1906.0,COMPANY: Restaurant Marguin<br>COUNTRY: France<br>FOUNDATION: 1906
50380403,45.80021,4.848165,La Perle Sushi,Point(4.848165 45.80021),2015-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q50380403,,http://www.wikidata.org/entity/Q142,France,2015.0,COMPANY: La Perle Sushi<br>COUNTRY: France<br>FOUNDATION: 2015
50411462,47.215336,0.06254389,Jean 2 (Montsoreau),Point(0.062543888 47.215336944),2017-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q50411462,,http://www.wikidata.org/entity/Q142,France,2017.0,COMPANY: Jean 2 (Montsoreau)<br>COUNTRY: France<br>FOUNDATION: 2017
51292676,48.133846,16.254332,Gasthaus Stelzer,Point(16.254331 48.133848),,,http://www.wikidata.org/entity/Q51292676,,http://www.wikidata.org/entity/Q40,Austria,,COMPANY: Gasthaus Stelzer<br>COUNTRY: Austria<br>FOUNDATION: nan
51313533,47.70846,3.639399,Auberge Les Tilleuls,Point(3.639399 47.708463),,,http://www.wikidata.org/entity/Q51313533,,http://www.wikidata.org/entity/Q142,France,,COMPANY: Auberge Les Tilleuls<br>COUNTRY: France<br>FOUNDATION: nan
