Industry,Country,Total_employee_estimate_mean,Total_employee_estimate_std,mean_size,max_size
utilities,18803,78.87182896346327,619.5894507160283,40.91538584268468,23290.0
think tanks,8203,18.29818359136901,102.85987637725985,6.615628428623674,2380.0
wireless,6757,33.37635045138375,486.7048412308527,13.371466627201421,18614.0
philanthropy,11757,18.496044909415666,128.85590637932083,7.667177000935613,7569.0
alternative dispute resolution,2549,9.735582581404472,80.76253832179151,5.931737936445665,2743.0
alternative medicine,7724,5.731227343345417,42.21977716839265,3.827679958570689,2557.0
plastics,16629,19.57742498045583,117.92274837571073,9.529977749714355,4381.0
government relations,9865,34.15935124176381,204.24190449050496,16.525798276735934,7100.0
executive office,13787,10.029375498658156,75.54287703904973,5.250670921882933,3560.0
biotechnology,27174,39.90527710311327,677.8631015318019,17.031095900493117,34844.0
libraries,5050,25.624752475247526,117.22736299533365,11.783960396039603,1750.0
computer games,18102,21.968567009170258,194.914787950094,7.5065738592420725,6192.0
warehousing,7628,10.97954902988988,88.83287603655023,5.670162558993183,5941.0
online media,29690,14.853957561468508,130.5512259311191,5.610272819131021,4485.0
translation and localization,11899,18.818051937137575,410.28302500671396,11.389444491133709,39679.0
computer & network security,19364,16.810937822763893,152.93686850784613,7.829012600702335,4964.0
medical devices,35397,41.702517162471395,635.1992465946544,18.546373986496032,35664.0
consumer electronics,23239,39.89543439907053,1355.9411756374404,16.254442962261717,90095.0
capital markets,5933,32.00792179335918,466.28611247453335,13.30035395246924,14357.0
commercial real estate,15234,24.627084153866353,588.1353526356793,11.45674149927793,29101.0
railroad manufacture,1818,63.31298129812981,975.0451973709703,29.755775577557756,16661.0
airlines/aviation,20879,79.30513913501605,883.6915592682542,38.3453230518703,29498.0
gambling & casinos,4925,65.96020304568528,374.98992425037085,27.79228426395939,6302.0
aviation & aerospace,17925,67.6628730822873,1231.259658229254,31.164295676429568,67261.0
arts and crafts,26916,6.460320998662506,87.38207573304413,3.7443528013077723,10689.0
packaging and containers,15720,31.043956743002546,334.61486298185343,14.802735368956743,10536.0
investment banking,10209,52.19570966794005,1510.0782414580106,18.234694877069252,37595.0
ranching,2324,7.902323580034423,33.5790281362257,3.9819277108433737,483.0
nonprofit organization management,6887,5.690721649484536,41.10535189690657,3.3008566865108175,2012.0
defense & space,10278,159.8895699552442,3606.8370986723808,64.95290912628916,113997.0
tobacco,1354,125.03028064992614,1815.8585958160088,50.65361890694239,16683.0
fund-raising,8664,16.43698060941828,118.74322821310534,6.223915050784857,2978.0
military,3771,470.9140811455847,9587.914258464923,164.76292760540971,162163.0
museums and institutions,10155,42.49620876415559,190.70299050176388,12.077991137370754,2687.0
paper & forest products,6934,51.89933660224978,509.3074710315898,23.5915777329103,11618.0
dairy,3119,43.487656300096184,449.2504531212122,19.99519076627124,7005.0
animation,7471,19.36755454423772,132.63491914612914,6.573551064114576,4991.0
international affairs,7528,72.6971307120085,1106.5461709578503,23.722369819341125,19263.0
fishery,2355,12.100212314225054,130.79450235804515,7.117622080679405,5476.0
newspapers,11529,65.66978922716628,315.9628075952401,18.537687570474457,5611.0
public policy,7219,53.36043773375814,1206.707869484033,28.175924643302398,84218.0
supermarkets,2859,161.88737320741518,1886.9150213810153,57.685904162294506,27313.0
judiciary,3926,45.87009679062659,320.04612495094983,23.355832908813042,7268.0
"glass, ceramics & concrete",5588,26.51360057265569,292.62335772413553,12.085361488904796,7358.0
nanotechnology,2536,16.45070977917981,67.47103549235806,7.238958990536277,627.0
shipbuilding,3736,32.7470556745182,159.7642300361371,14.629817987152034,2093.0
legislative office,524,230.956106870229,1875.3529204706158,73.38740458015268,12853.0
1 - 10,2,0.0,0.0,1.0,2.0
